method,L2,Linf,RMSE,MAE
d2q9,0.009174806685714847,0.005884384135041602,0.004530060801071706,0.004339302096363005
d1q3,0.3053748018457804,0.31020642297979373,0.21557240512606796,0.1938472988866862
d1q2,0.6517007655451067,0.6778906693437592,0.4592833884941469,0.4119234657090107
