Iteracao,Magnetizacao
0,-0.0328
1,-0.0104
2,0.0144
3,-0.0104
4,0.0096
5,0.012
6,-0.0256
7,-0.0272
8,-0.0608
9,-0.0536
10,-0.0328
11,-0.0192
12,-0.06
13,-0.0768
14,-0.0672
15,-0.0584
16,-0.048
17,-0.06
18,-0.052
19,-0.0656
20,-0.0848
21,-0.0704
22,-0.0592
23,-0.032
24,-0.0416
25,-0.0464
26,-0.0512
27,-0.0488
28,-0.0384
29,-0.028
30,-0.0344
31,-0.0472
32,-0.0632
33,-0.052
34,-0.0632
35,-0.0784
36,-0.0784
37,-0.0448
38,-0.0408
39,-0.0456
40,-0.0472
41,-0.0544
42,-0.0656
43,-0.0592
44,-0.08
45,-0.0816
46,-0.1096
47,-0.1184
48,-0.0968
49,-0.0816
50,-0.0928
51,-0.0872
52,-0.0832
53,-0.0936
54,-0.0992
55,-0.1024
56,-0.1
57,-0.104
58,-0.1
59,-0.092
60,-0.0776
61,-0.0592
62,-0.0592
63,-0.0248
64,-0.024
65,-0.0216
66,-0.0208
67,-0.0248
68,-0.0216
69,-0.0184
70,-0.0104
71,0.0072
72,0.0
73,0.0064
74,0.0064
75,0.0088
76,0.0144
77,0.0136
78,0.0296
79,0.0256
80,0.0288
81,0.0336
82,0.0224
83,0.0288
84,0.0248
85,0.028
86,0.0232
87,0.0296
88,0.04
89,0.0408
90,0.0576
91,0.0544
92,0.0416
93,0.052
94,0.048
95,0.0496
96,0.064
97,0.0608
98,0.0544
99,0.0632
100,0.0728
101,0.0752
102,0.0768
103,0.0824
104,0.0784
105,0.0832
106,0.0872
107,0.1064
108,0.1184
109,0.1272
110,0.1128
111,0.1112
112,0.1192
113,0.112
114,0.108
115,0.1072
116,0.1184
117,0.136
118,0.156
119,0.152
120,0.1448
121,0.1376
122,0.136
123,0.1368
124,0.124
125,0.1312
126,0.1352
127,0.1432
128,0.1456
129,0.14
130,0.1408
131,0.1408
132,0.1424
133,0.136
134,0.1416
135,0.148
136,0.1536
137,0.1456
138,0.1472
139,0.1648
140,0.16
141,0.1536
142,0.152
143,0.1488
144,0.1416
145,0.1384
146,0.1512
147,0.1488
148,0.1432
149,0.1456
150,0.148
151,0.1384
152,0.14
153,0.1432
154,0.14
155,0.1488
156,0.156
157,0.148
158,0.1384
159,0.1408
160,0.1472
161,0.1424
162,0.1504
163,0.148
164,0.1592
165,0.1568
166,0.1544
167,0.152
168,0.1448
169,0.1352
170,0.1424
171,0.14
172,0.1432
173,0.1416
174,0.1456
175,0.1256
176,0.1008
177,0.1136
178,0.0952
179,0.0824
180,0.0808
181,0.0752
182,0.0584
183,0.0552
184,0.0592
185,0.0632
186,0.0512
187,0.0552
188,0.0536
189,0.0544
190,0.0472
191,0.0336
192,0.0288
193,0.028
194,0.0376
195,0.0272
196,0.0184
197,0.0112
198,0.004
199,-0.0112
200,0.0008
201,0.008
202,0.02
203,0.0192
204,0.0232
205,0.0232
206,0.0224
207,0.0064
208,-0.0016
209,-0.0048
210,-0.0184
211,-0.024
212,-0.0248
213,-0.0312
214,-0.0344
215,-0.0456
216,-0.0496
217,-0.0632
218,-0.0856
219,-0.0944
220,-0.0848
221,-0.0776
222,-0.076
223,-0.0768
224,-0.0688
225,-0.0728
226,-0.0696
227,-0.0672
228,-0.0856
229,-0.084
230,-0.088
231,-0.0808
232,-0.0784
233,-0.0552
234,-0.0504
235,-0.0472
236,-0.0552
237,-0.0544
238,-0.0656
239,-0.0528
240,-0.06
241,-0.0696
242,-0.0792
243,-0.0544
244,-0.044
245,-0.0664
246,-0.0568
247,-0.0544
248,-0.0368
249,-0.036
250,-0.0264
251,-0.028
252,-0.0288
253,-0.028
254,-0.0336
255,-0.0384
256,-0.0424
257,-0.0376
258,-0.0184
259,-0.0112
260,-0.0056
261,-0.0272
262,-0.0264
263,-0.04
264,-0.0512
265,-0.0464
266,-0.0352
267,-0.0432
268,-0.0576
269,-0.0728
270,-0.0792
271,-0.0704
272,-0.084
273,-0.084
274,-0.092
275,-0.1104
276,-0.1048
277,-0.0976
278,-0.084
279,-0.0864
280,-0.076
281,-0.0848
282,-0.0816
283,-0.0656
284,-0.0776
285,-0.084
286,-0.0808
287,-0.0872
288,-0.08
289,-0.0856
290,-0.076
291,-0.0792
292,-0.0912
293,-0.096
294,-0.1064
295,-0.1208
296,-0.136
297,-0.136
298,-0.144
299,-0.1416
300,-0.14
301,-0.1424
302,-0.136
303,-0.1328
304,-0.128
305,-0.1208
306,-0.1184
307,-0.132
308,-0.1192
309,-0.1128
310,-0.1064
311,-0.1
312,-0.0976
313,-0.0944
314,-0.0888
315,-0.0952
316,-0.0944
317,-0.0928
318,-0.1096
319,-0.1232
320,-0.1256
321,-0.1136
322,-0.12
323,-0.1128
324,-0.1192
325,-0.116
326,-0.104
327,-0.1064
328,-0.1128
329,-0.0976
330,-0.1064
331,-0.1104
332,-0.0992
333,-0.1152
334,-0.1024
335,-0.1144
336,-0.1192
337,-0.108
338,-0.1048
339,-0.108
340,-0.1112
341,-0.096
342,-0.0992
343,-0.0856
344,-0.0904
345,-0.0728
346,-0.0624
347,-0.0464
348,-0.0384
349,-0.0344
350,-0.0312
351,-0.04
352,-0.0408
353,-0.0472
354,-0.0528
355,-0.0544
356,-0.06
357,-0.0648
358,-0.0816
359,-0.096
360,-0.0904
361,-0.0808
362,-0.056
363,-0.0544
364,-0.0456
365,-0.0384
366,-0.0224
367,-0.0288
368,-0.0168
369,-0.0256
370,-0.0208
371,-0.0232
372,-0.0104
373,-0.0184
374,-0.0176
375,-0.0176
376,-0.0296
377,-0.0512
378,-0.0456
379,-0.0352
380,-0.0408
381,-0.0416
382,-0.0408
383,-0.0416
384,-0.0472
385,-0.0528
386,-0.0544
387,-0.0584
388,-0.0496
389,-0.052
390,-0.0568
391,-0.0576
392,-0.0392
393,-0.0344
394,-0.04
395,-0.02
396,-0.0208
397,-0.0232
398,-0.0352
399,-0.0376
400,-0.0408
401,-0.0392
402,-0.0352
403,-0.0288
404,-0.0272
405,-0.0352
406,-0.0336
407,-0.0456
408,-0.052
409,-0.0424
410,-0.0376
411,-0.032
412,-0.0144
413,-0.0208
414,-0.0408
415,-0.0464
416,-0.032
417,-0.0448
418,-0.0488
419,-0.052
420,-0.0416
421,-0.0368
422,-0.048
423,-0.0296
424,-0.036
425,-0.0248
426,-0.0448
427,-0.044
428,-0.0448
429,-0.0368
430,-0.036
431,-0.036
432,-0.0232
433,-0.0136
434,-0.0144
435,-0.0152
436,-0.0192
437,-0.02
438,-0.0312
439,-0.0264
440,-0.0392
441,-0.0464
442,-0.0376
443,-0.0408
444,-0.0488
445,-0.052
446,-0.0432
447,-0.048
448,-0.0408
449,-0.048
450,-0.052
451,-0.0576
452,-0.0624
453,-0.0592
454,-0.0392
455,-0.0464
456,-0.0376
457,-0.0496
458,-0.0448
459,-0.0384
460,-0.0232
461,-0.036
462,-0.0344
463,-0.0464
464,-0.0392
465,-0.048
466,-0.0464
467,-0.0408
468,-0.04
469,-0.0448
470,-0.0432
471,-0.0544
472,-0.0648
473,-0.0688
474,-0.0696
475,-0.0624
476,-0.0624
477,-0.0728
478,-0.068
479,-0.0728
480,-0.0768
481,-0.0712
482,-0.06
483,-0.0608
484,-0.0704
485,-0.072
486,-0.0768
487,-0.0536
488,-0.0672
489,-0.0664
490,-0.0584
491,-0.0592
492,-0.0656
493,-0.0576
494,-0.0488
495,-0.0576
496,-0.0472
497,-0.056
498,-0.06
499,-0.052
