Iteracao,Energia
0,-0.6912
1,-0.8624
2,-0.9552
3,-1.0384
4,-1.0912
5,-1.0896
6,-1.128
7,-1.16
8,-1.1264
9,-1.16
10,-1.1856
11,-1.2144
12,-1.1792
13,-1.24
14,-1.2112
15,-1.24
16,-1.2688
17,-1.2272
18,-1.2672
19,-1.2816
20,-1.3344
21,-1.2928
22,-1.3232
23,-1.336
24,-1.296
25,-1.328
26,-1.304
27,-1.3024
28,-1.3472
29,-1.3616
30,-1.3344
31,-1.3552
32,-1.328
33,-1.344
34,-1.3056
35,-1.3488
36,-1.3088
37,-1.3296
38,-1.3424
39,-1.3536
40,-1.3392
41,-1.3504
42,-1.3984
43,-1.4336
44,-1.392
45,-1.4384
46,-1.3968
47,-1.3744
48,-1.432
49,-1.44
50,-1.4336
51,-1.4528
52,-1.4496
53,-1.4544
54,-1.4672
55,-1.4736
56,-1.4384
57,-1.3952
58,-1.4368
59,-1.4384
60,-1.4416
61,-1.3904
62,-1.3808
63,-1.392
64,-1.4144
65,-1.3744
66,-1.3552
67,-1.408
68,-1.4224
69,-1.4192
70,-1.4336
71,-1.3968
72,-1.4336
73,-1.4576
74,-1.4144
75,-1.4496
76,-1.4848
77,-1.4928
78,-1.5216
79,-1.512
80,-1.5504
81,-1.5184
82,-1.48
83,-1.4592
84,-1.4224
85,-1.4544
86,-1.5024
87,-1.4816
88,-1.512
89,-1.4928
90,-1.5008
91,-1.4704
92,-1.4752
93,-1.4512
94,-1.4432
95,-1.4688
96,-1.4704
97,-1.5008
98,-1.5552
99,-1.5408
100,-1.5392
101,-1.5248
102,-1.5136
103,-1.5088
104,-1.4656
105,-1.4896
106,-1.4752
107,-1.5104
108,-1.5472
109,-1.5744
110,-1.5632
111,-1.5344
112,-1.5056
113,-1.5248
114,-1.4704
115,-1.4816
116,-1.5008
117,-1.5568
118,-1.5552
119,-1.5328
120,-1.5168
121,-1.5056
122,-1.4928
123,-1.5248
124,-1.536
125,-1.5392
126,-1.6048
127,-1.5488
128,-1.5568
129,-1.568
130,-1.5456
131,-1.5136
132,-1.4896
133,-1.5184
134,-1.4992
135,-1.4656
136,-1.4992
137,-1.4672
138,-1.4736
139,-1.456
140,-1.4704
141,-1.496
142,-1.472
143,-1.488
144,-1.464
145,-1.4832
146,-1.5312
147,-1.536
148,-1.5008
149,-1.5264
150,-1.4736
151,-1.5136
152,-1.5328
153,-1.5264
154,-1.5296
155,-1.5488
156,-1.576
157,-1.5696
158,-1.5536
159,-1.544
160,-1.5104
161,-1.5216
162,-1.5248
163,-1.48
164,-1.4848
165,-1.528
166,-1.5008
167,-1.488
168,-1.504
169,-1.5264
170,-1.4864
171,-1.5616
172,-1.4816
173,-1.5248
174,-1.5168
175,-1.4992
176,-1.496
177,-1.464
178,-1.4912
179,-1.48
180,-1.4992
181,-1.5344
182,-1.5392
183,-1.504
184,-1.4672
185,-1.5024
186,-1.5376
187,-1.5248
188,-1.544
189,-1.5872
190,-1.6368
191,-1.5904
192,-1.5504
193,-1.5216
194,-1.5456
195,-1.56
196,-1.536
197,-1.5456
198,-1.5328
199,-1.5584
200,-1.5248
201,-1.5584
202,-1.5488
203,-1.5232
204,-1.5296
205,-1.5248
206,-1.5328
207,-1.5472
208,-1.56
209,-1.5552
210,-1.5104
211,-1.5216
212,-1.5568
213,-1.5456
214,-1.568
215,-1.5872
216,-1.568
217,-1.5504
218,-1.5392
219,-1.5216
220,-1.5552
221,-1.6032
222,-1.576
223,-1.5824
224,-1.5536
225,-1.552
226,-1.576
227,-1.5392
228,-1.5488
229,-1.5392
230,-1.5808
231,-1.5296
232,-1.544
233,-1.5264
234,-1.4928
235,-1.5584
236,-1.504
237,-1.4736
238,-1.5024
239,-1.4704
240,-1.472
241,-1.4976
242,-1.5552
243,-1.5184
244,-1.5024
245,-1.568
246,-1.5376
247,-1.5328
248,-1.5392
249,-1.5696
250,-1.5648
251,-1.544
252,-1.5152
253,-1.512
254,-1.5104
255,-1.544
256,-1.5104
257,-1.504
258,-1.5248
259,-1.584
260,-1.5872
261,-1.5616
262,-1.5248
263,-1.5664
264,-1.576
265,-1.5472
266,-1.52
267,-1.536
268,-1.5056
269,-1.5296
270,-1.4704
271,-1.4784
272,-1.5088
273,-1.5088
274,-1.496
275,-1.5232
276,-1.5264
277,-1.608
278,-1.592
279,-1.5744
280,-1.552
281,-1.5232
282,-1.5536
283,-1.5632
284,-1.5712
285,-1.5888
286,-1.5776
287,-1.5056
288,-1.488
289,-1.4944
290,-1.4912
291,-1.4672
292,-1.5168
293,-1.5344
294,-1.4976
295,-1.4816
296,-1.5232
297,-1.5248
298,-1.4848
299,-1.5088
300,-1.504
301,-1.5072
302,-1.496
303,-1.5088
304,-1.4608
305,-1.5056
306,-1.5264
307,-1.5424
308,-1.512
309,-1.528
310,-1.5696
311,-1.5552
312,-1.5456
313,-1.5712
314,-1.6
315,-1.6048
316,-1.6064
317,-1.6016
318,-1.6336
319,-1.5696
320,-1.6048
321,-1.5984
322,-1.6224
323,-1.5936
324,-1.6032
325,-1.5584
326,-1.5488
327,-1.5408
328,-1.4832
329,-1.4944
330,-1.48
331,-1.4944
332,-1.52
333,-1.5104
334,-1.5088
335,-1.504
336,-1.48
337,-1.4944
338,-1.4768
339,-1.4576
340,-1.5248
341,-1.5232
342,-1.56
343,-1.5312
344,-1.552
345,-1.584
346,-1.5472
347,-1.5248
348,-1.4912
349,-1.4992
350,-1.5216
351,-1.5296
352,-1.5008
353,-1.4944
354,-1.4944
355,-1.504
356,-1.4912
357,-1.4496
358,-1.4736
359,-1.4656
360,-1.5056
361,-1.544
362,-1.5568
363,-1.568
364,-1.5648
365,-1.544
366,-1.5312
367,-1.5184
368,-1.5216
369,-1.5008
370,-1.48
371,-1.4816
372,-1.4864
373,-1.4992
374,-1.512
375,-1.5232
376,-1.5312
377,-1.5216
378,-1.5168
379,-1.5616
380,-1.4912
381,-1.4816
382,-1.456
383,-1.4816
384,-1.5536
385,-1.5488
386,-1.4768
387,-1.4864
388,-1.5328
389,-1.5328
390,-1.5584
391,-1.5632
392,-1.5696
393,-1.5712
394,-1.5056
395,-1.4832
396,-1.4944
397,-1.5216
398,-1.48
399,-1.5248
400,-1.5264
401,-1.504
402,-1.5168
403,-1.5328
404,-1.4688
405,-1.4736
