x,y,phi_LBM,phi_exact,error
0.0,0.0,0.0,0.0,0.0
0.0,0.010101010101010102,5.085003713453467e-07,0.0,5.085003713453467e-07
0.0,0.020202020202020204,1.0164887259204796e-06,0.0,1.0164887259204796e-06
0.0,0.030303030303030304,1.52345356251267e-06,0.0,1.52345356251267e-06
0.0,0.04040404040404041,2.028884410505039e-06,0.0,2.028884410505039e-06
0.0,0.05050505050505051,2.5322723438771962e-06,0.0,2.5322723438771962e-06
0.0,0.06060606060606061,3.0331104936506057e-06,0.0,3.0331104936506057e-06
0.0,0.07070707070707072,3.5308945582626746e-06,0.0,3.5308945582626746e-06
0.0,0.08080808080808081,4.02512331135569e-06,0.0,4.02512331135569e-06
0.0,0.09090909090909091,4.515299106469261e-06,0.0,4.515299106469261e-06
0.0,0.10101010101010102,5.000928378128135e-06,0.0,5.000928378128135e-06
0.0,0.11111111111111112,5.48152213882078e-06,0.0,5.48152213882078e-06
0.0,0.12121212121212122,5.956596471368369e-06,0.0,5.956596471368369e-06
0.0,0.13131313131313133,6.42567301618835e-06,0.0,6.42567301618835e-06
0.0,0.14141414141414144,6.8882794529620085e-06,0.0,6.8882794529620085e-06
0.0,0.15151515151515152,7.343949976220981e-06,0.0,7.343949976220981e-06
0.0,0.16161616161616163,7.792225764373882e-06,0.0,7.792225764373882e-06
0.0,0.17171717171717174,8.23265544170075e-06,0.0,8.23265544170075e-06
0.0,0.18181818181818182,8.664795532850148e-06,0.0,8.664795532850148e-06
0.0,0.19191919191919193,9.088210909381233e-06,0.0,9.088210909381233e-06
0.0,0.20202020202020204,9.502475227901219e-06,0.0,9.502475227901219e-06
0.0,0.21212121212121213,9.907171359357044e-06,0.0,9.907171359357044e-06
0.0,0.22222222222222224,1.0301891809048953e-05,0.0,1.0301891809048953e-05
0.0,0.23232323232323235,1.0686239126943125e-05,0.0,1.0686239126943125e-05
0.0,0.24242424242424243,1.1059826307870167e-05,0.0,1.1059826307870167e-05
0.0,0.25252525252525254,1.1422277181206517e-05,0.0,1.1422277181206517e-05
0.0,0.26262626262626265,1.1773226789646367e-05,0.0,1.1773226789646367e-05
0.0,0.27272727272727276,1.2112321756682745e-05,0.0,1.2112321756682745e-05
0.0,0.2828282828282829,1.2439220642427693e-05,0.0,1.2439220642427693e-05
0.0,0.29292929292929293,1.2753594287413302e-05,0.0,1.2753594287413302e-05
0.0,0.30303030303030304,1.3055126144027381e-05,0.0,1.3055126144027381e-05
0.0,0.31313131313131315,1.3343512595250079e-05,0.0,1.3343512595250079e-05
0.0,0.32323232323232326,1.361846326037049e-05,0.0,1.361846326037049e-05
0.0,0.33333333333333337,1.3879701287375407e-05,0.0,1.3879701287375407e-05
0.0,0.3434343434343435,1.4126963631715836e-05,0.0,1.4126963631715836e-05
0.0,0.3535353535353536,1.4360001321170557e-05,0.0,1.4360001321170557e-05
0.0,0.36363636363636365,1.4578579706540048e-05,0.0,1.4578579706540048e-05
0.0,0.37373737373737376,1.4782478697918341e-05,0.0,1.4782478697918341e-05
0.0,0.38383838383838387,1.497149298630489e-05,0.0,1.497149298630489e-05
0.0,0.393939393939394,1.5145432250333349e-05,0.0,1.5145432250333349e-05
0.0,0.4040404040404041,1.530412134790904e-05,0.0,1.530412134790904e-05
0.0,0.4141414141414142,1.5447400492562206e-05,0.0,1.5447400492562206e-05
0.0,0.42424242424242425,1.557512541433943e-05,0.0,1.557512541433943e-05
0.0,0.43434343434343436,1.568716750507126e-05,0.0,1.568716750507126e-05
0.0,0.4444444444444445,1.5783413947869734e-05,0.0,1.5783413947869734e-05
0.0,0.4545454545454546,1.5863767830725413e-05,0.0,1.5863767830725413e-05
0.0,0.4646464646464647,1.592814824408957e-05,0.0,1.592814824408957e-05
0.0,0.4747474747474748,1.597649036234324e-05,0.0,1.597649036234324e-05
0.0,0.48484848484848486,1.600874550907113e-05,0.0,1.600874550907113e-05
0.0,0.494949494949495,1.6024881206074633e-05,0.0,1.6024881206074633e-05
0.0,0.5050505050505051,1.6024881206074633e-05,0.0,1.6024881206074633e-05
0.0,0.5151515151515152,1.600874550907113e-05,0.0,1.600874550907113e-05
0.0,0.5252525252525253,1.597649036234324e-05,0.0,1.597649036234324e-05
0.0,0.5353535353535354,1.592814824408957e-05,0.0,1.592814824408957e-05
0.0,0.5454545454545455,1.5863767830725413e-05,0.0,1.5863767830725413e-05
0.0,0.5555555555555556,1.5783413947869734e-05,0.0,1.5783413947869734e-05
0.0,0.5656565656565657,1.568716750507126e-05,0.0,1.568716750507126e-05
0.0,0.5757575757575758,1.557512541433943e-05,0.0,1.557512541433943e-05
0.0,0.5858585858585859,1.5447400492562206e-05,0.0,1.5447400492562206e-05
0.0,0.595959595959596,1.530412134790904e-05,0.0,1.530412134790904e-05
0.0,0.6060606060606061,1.5145432250333349e-05,0.0,1.5145432250333349e-05
