Método,L2,L∞,RMSE,MAE,Pontos
FDM_1D,0.0005586300752661186,0.0006281525556309786,0.00039253453127045487,0.00034735502894129384,80
D2Q9,0.009174806685714847,0.005884384135041602,0.004530060801071706,0.004339302096363005,6400
D1Q3,0.3053748018457804,0.31020642297979373,0.21557240512606796,0.1938472988866862,300
D1Q2,0.6517007655451067,0.6778906693437592,0.4592833884941469,0.4119234657090107,150
