Iteracao,Energia
0,-0.4976
1,-0.5936
2,-0.6448
3,-0.7088
4,-0.7632
5,-0.7248
6,-0.688
7,-0.7568
8,-0.7856
9,-0.7792
10,-0.7728
11,-0.7344
12,-0.6928
13,-0.72
14,-0.7504
15,-0.712
16,-0.7136
17,-0.7744
18,-0.7824
19,-0.8048
20,-0.76
21,-0.7056
22,-0.704
23,-0.7344
24,-0.7312
25,-0.6912
26,-0.6624
27,-0.6976
28,-0.7296
29,-0.6944
30,-0.744
31,-0.7776
32,-0.7248
33,-0.7392
34,-0.7488
35,-0.7728
36,-0.76
37,-0.6928
38,-0.7328
39,-0.7296
40,-0.768
41,-0.784
42,-0.7696
43,-0.7184
44,-0.7584
45,-0.672
46,-0.6864
47,-0.7728
48,-0.7456
49,-0.7088
50,-0.7488
51,-0.7696
52,-0.7456
53,-0.7248
54,-0.7344
55,-0.7568
56,-0.7424
57,-0.744
58,-0.7152
59,-0.6672
60,-0.7024
61,-0.7472
62,-0.7408
63,-0.7392
64,-0.7392
65,-0.7408
66,-0.744
67,-0.7344
68,-0.6912
69,-0.7248
70,-0.6528
71,-0.7104
72,-0.6864
73,-0.6864
74,-0.7024
75,-0.7552
76,-0.7536
77,-0.7504
78,-0.7408
79,-0.7408
80,-0.7104
81,-0.6944
82,-0.7152
83,-0.7312
84,-0.7296
85,-0.7152
86,-0.6912
87,-0.7456
88,-0.7408
89,-0.7376
90,-0.7088
91,-0.6784
92,-0.712
93,-0.7136
94,-0.6432
95,-0.736
96,-0.7408
97,-0.744
98,-0.7328
99,-0.7232
100,-0.76
101,-0.7472
102,-0.744
103,-0.776
104,-0.6688
105,-0.7296
106,-0.6832
107,-0.6784
108,-0.7296
109,-0.7664
110,-0.7424
111,-0.7088
112,-0.6672
113,-0.6736
114,-0.6672
115,-0.6576
116,-0.6752
117,-0.7568
118,-0.704
119,-0.6464
120,-0.616
121,-0.6144
122,-0.6656
123,-0.7472
124,-0.7136
125,-0.6816
126,-0.7184
127,-0.7504
128,-0.728
129,-0.7248
130,-0.7072
131,-0.6896
132,-0.6656
133,-0.7616
134,-0.7504
135,-0.7232
136,-0.6816
137,-0.6784
138,-0.7072
139,-0.704
140,-0.7232
141,-0.6704
142,-0.6576
143,-0.7216
144,-0.7088
145,-0.6944
146,-0.7488
147,-0.6528
148,-0.6976
149,-0.7168
150,-0.7552
151,-0.7616
152,-0.7104
153,-0.68
154,-0.6992
155,-0.6912
156,-0.7104
157,-0.728
158,-0.704
159,-0.7312
160,-0.7584
161,-0.752
162,-0.7216
163,-0.7728
164,-0.7632
165,-0.7184
166,-0.7136
167,-0.7264
168,-0.7424
169,-0.6944
170,-0.6752
171,-0.6784
172,-0.6784
173,-0.7088
174,-0.7152
175,-0.6896
176,-0.6864
177,-0.6832
178,-0.6896
179,-0.6576
180,-0.6928
181,-0.696
182,-0.6944
183,-0.7296
184,-0.7936
185,-0.7008
186,-0.6688
187,-0.6896
188,-0.6864
189,-0.7184
190,-0.6976
191,-0.704
192,-0.7056
193,-0.7056
194,-0.7104
195,-0.7376
196,-0.7504
197,-0.7264
198,-0.7456
199,-0.7328
200,-0.6544
201,-0.672
202,-0.72
203,-0.7104
204,-0.7024
205,-0.6816
206,-0.7376
207,-0.72
208,-0.7056
209,-0.6736
210,-0.7328
211,-0.728
212,-0.7376
213,-0.6768
214,-0.6688
215,-0.6624
216,-0.7056
217,-0.7424
218,-0.6688
219,-0.7408
220,-0.7264
221,-0.7248
222,-0.7216
223,-0.7424
224,-0.7552
225,-0.7376
226,-0.7856
227,-0.7552
228,-0.7232
229,-0.704
230,-0.7136
231,-0.7056
232,-0.6912
233,-0.688
234,-0.7104
235,-0.7056
236,-0.72
237,-0.696
238,-0.6704
239,-0.7408
240,-0.7376
241,-0.7136
242,-0.7424
243,-0.712
244,-0.7408
245,-0.7024
246,-0.6848
247,-0.7408
248,-0.696
249,-0.7136
250,-0.6832
251,-0.704
252,-0.7392
253,-0.672
254,-0.7088
255,-0.7328
256,-0.6624
257,-0.6816
258,-0.7328
259,-0.712
260,-0.7232
261,-0.7648
262,-0.6864
263,-0.6656
264,-0.6848
265,-0.688
266,-0.7184
267,-0.6864
268,-0.672
269,-0.7392
270,-0.7104
271,-0.7408
272,-0.76
273,-0.7888
274,-0.6928
275,-0.7136
276,-0.7136
277,-0.7536
278,-0.7312
279,-0.7392
280,-0.6816
281,-0.7456
282,-0.7408
283,-0.72
284,-0.7504
285,-0.7552
286,-0.7312
287,-0.7712
288,-0.7504
289,-0.7408
290,-0.7696
291,-0.7136
292,-0.72
293,-0.784
294,-0.7072
295,-0.7616
296,-0.712
297,-0.7408
298,-0.7872
299,-0.7632
300,-0.712
301,-0.7072
302,-0.648
303,-0.6896
304,-0.696
305,-0.7712
306,-0.704
307,-0.7344
308,-0.7456
309,-0.7696
310,-0.7392
311,-0.7424
312,-0.8224
313,-0.7776
314,-0.7952
315,-0.72
316,-0.7728
317,-0.768
318,-0.8064
319,-0.7904
320,-0.8288
321,-0.7968
322,-0.8144
323,-0.7232
324,-0.7136
325,-0.704
326,-0.7024
327,-0.7248
328,-0.7024
329,-0.6864
330,-0.7184
331,-0.7232
332,-0.6848
333,-0.6928
334,-0.6928
335,-0.688
336,-0.8176
337,-0.7424
338,-0.7552
339,-0.7392
340,-0.7248
341,-0.7312
342,-0.7008
343,-0.7408
344,-0.7184
345,-0.768
346,-0.76
347,-0.7392
348,-0.7664
349,-0.72
350,-0.736
351,-0.7056
352,-0.6944
353,-0.6848
354,-0.6432
355,-0.6656
356,-0.7088
357,-0.6848
358,-0.6576
359,-0.7344
360,-0.704
361,-0.7376
362,-0.736
363,-0.736
364,-0.7728
365,-0.7344
366,-0.7472
367,-0.7696
368,-0.7008
369,-0.7424
370,-0.744
371,-0.7248
372,-0.6848
373,-0.7408
374,-0.7392
375,-0.6928
376,-0.704
377,-0.7264
378,-0.6704
379,-0.7296
380,-0.752
381,-0.7456
382,-0.744
383,-0.7024
384,-0.712
385,-0.728
386,-0.6416
387,-0.648
388,-0.7056
389,-0.68
390,-0.6624
391,-0.712
392,-0.7488
393,-0.728
394,-0.72
395,-0.7136
396,-0.7088
397,-0.7248
398,-0.7216
399,-0.7296
400,-0.704
401,-0.6912
402,-0.7072
403,-0.7392
404,-0.7024
405,-0.7488
406,-0.7504
407,-0.7008
408,-0.7264
409,-0.7136
410,-0.7104
411,-0.712
412,-0.7648
413,-0.7904
414,-0.7856
415,-0.7568
416,-0.7344
417,-0.7472
418,-0.7536
419,-0.744
420,-0.7232
421,-0.7168
422,-0.6896
423,-0.7424
424,-0.6944
425,-0.6832
426,-0.7072
427,-0.6928
428,-0.7232
429,-0.7888
430,-0.792
431,-0.7904
432,-0.768
433,-0.7552
434,-0.7536
435,-0.792
436,-0.8144
437,-0.7792
438,-0.7424
439,-0.7904
440,-0.7392
441,-0.7632
442,-0.768
443,-0.7312
444,-0.7248
445,-0.7008
446,-0.696
447,-0.7216
448,-0.6496
449,-0.6848
450,-0.7136
451,-0.704
452,-0.7408
453,-0.7328
454,-0.6944
455,-0.7376
456,-0.7392
457,-0.7792
458,-0.6704
459,-0.7024
460,-0.6896
461,-0.7056
462,-0.7216
463,-0.7328
464,-0.7248
465,-0.7424
466,-0.6896
467,-0.7168
468,-0.6832
469,-0.6848
470,-0.696
471,-0.6496
472,-0.64
473,-0.6944
474,-0.68
475,-0.688
476,-0.6928
477,-0.728
478,-0.7024
479,-0.7856
480,-0.784
481,-0.7824
482,-0.7104
483,-0.6944
484,-0.68
485,-0.7056
486,-0.7088
487,-0.7328
488,-0.7056
489,-0.648
490,-0.5952
491,-0.6832
492,-0.7088
493,-0.7392
494,-0.7376
495,-0.7456
496,-0.7664
497,-0.7456
498,-0.768
499,-0.7504
