Iteracao,Magnetizacao
0,0.0624
1,0.0384
2,0.0264
3,0.0232
4,0.0136
5,0.016
6,0.0096
7,0.036
8,0.0488
9,0.0224
10,-0.0008
11,-0.024
12,0.0136
13,0.0344
14,0.0344
15,0.0168
16,0.016
17,0.0544
18,0.0784
19,0.0648
20,0.0784
21,0.0208
22,-0.0168
23,0.0344
24,-0.0064
25,0.0024
26,0.0128
27,0.0216
28,-0.0104
29,-0.0184
30,0.024
31,-0.0096
32,-0.0096
33,-0.004
34,-0.0176
35,0.0056
36,0.0432
37,0.0712
38,0.052
39,0.0216
40,0.0496
41,0.0824
42,0.0664
43,0.1024
44,0.084
45,0.096
46,0.0816
47,0.0904
48,0.0792
49,0.0968
50,0.0928
51,0.0688
52,0.0744
53,0.056
54,0.0616
55,0.0464
56,0.0272
57,0.0512
58,0.052
59,0.0312
60,0.0544
61,0.0352
62,0.0624
63,0.048
64,0.0344
65,0.108
66,0.0672
67,0.0152
68,0.02
69,0.088
70,0.0424
71,0.0424
72,0.0896
73,0.1192
74,0.1256
75,0.0632
76,0.0616
77,0.0672
78,0.08
79,0.0552
80,0.0656
81,0.0248
82,0.0464
83,0.044
84,0.072
85,0.0928
86,0.1072
87,0.14
88,0.1384
89,0.1608
90,0.1104
91,0.1504
92,0.124
93,0.0904
94,0.0808
95,0.0984
96,0.1016
97,0.1104
98,0.0936
99,0.0472
100,0.0352
101,0.0312
102,-0.0296
103,-0.0032
104,0.0264
105,0.0016
106,-0.0096
107,-0.0296
108,0.0128
109,0.0296
110,0.0168
111,-0.0344
112,-0.0344
113,0.0056
114,-0.0232
115,-0.0264
116,-0.068
117,-0.0528
118,-0.0952
119,-0.0728
120,-0.016
121,-0.0128
122,-0.0056
123,-0.0352
124,-0.012
125,-0.044
126,-0.0264
127,-0.044
128,-0.0568
129,-0.0424
130,-0.0928
131,-0.1336
132,-0.1152
133,-0.1144
134,-0.1072
135,-0.0992
136,-0.0776
137,-0.076
138,-0.0896
139,-0.0856
140,-0.0552
141,-0.0024
142,0.0088
143,0.0176
144,0.0136
145,0.052
146,0.0096
147,-0.0096
148,-0.032
149,-0.0296
150,-0.02
151,0.0048
152,0.0456
153,0.008
154,0.0064
155,-0.0176
156,-0.0336
157,-0.048
