Iteracao,Energia
0,-0.6912
1,-0.9248
2,-1.1024
3,-1.1664
4,-1.2096
5,-1.2816
6,-1.3424
7,-1.368
8,-1.3936
9,-1.416
10,-1.4416
11,-1.4288
12,-1.4656
13,-1.5088
14,-1.5536
15,-1.528
16,-1.5424
17,-1.5952
18,-1.5648
19,-1.5376
20,-1.528
21,-1.5488
22,-1.568
23,-1.5872
24,-1.5824
25,-1.5696
26,-1.5808
27,-1.5888
28,-1.5888
29,-1.584
30,-1.5904
31,-1.6
32,-1.5936
33,-1.584
34,-1.5936
35,-1.5936
36,-1.5664
37,-1.5776
38,-1.5872
39,-1.5616
40,-1.5952
41,-1.6208
42,-1.576
43,-1.5984
44,-1.5824
45,-1.6032
46,-1.5984
47,-1.6112
48,-1.632
49,-1.6096
50,-1.6048
51,-1.6256
52,-1.608
53,-1.6032
54,-1.6528
55,-1.6592
56,-1.6288
57,-1.664
58,-1.6544
59,-1.648
60,-1.6512
61,-1.6496
62,-1.6432
63,-1.64
64,-1.632
65,-1.6816
66,-1.672
67,-1.6336
68,-1.6576
69,-1.6672
70,-1.664
71,-1.6928
72,-1.6816
73,-1.6688
74,-1.6512
75,-1.6144
76,-1.632
77,-1.6176
78,-1.6208
79,-1.6224
80,-1.6336
81,-1.6544
82,-1.6448
83,-1.6368
84,-1.664
85,-1.6656
86,-1.6512
87,-1.6464
88,-1.6464
89,-1.6416
90,-1.6416
91,-1.6528
92,-1.6544
93,-1.6384
94,-1.648
95,-1.6352
96,-1.608
97,-1.6032
98,-1.6288
99,-1.5984
100,-1.6144
101,-1.6256
102,-1.664
103,-1.6976
104,-1.704
105,-1.6784
106,-1.656
107,-1.6864
108,-1.6864
109,-1.6816
110,-1.6928
111,-1.7088
112,-1.6784
113,-1.6448
114,-1.6496
115,-1.6528
116,-1.688
117,-1.672
118,-1.6576
119,-1.6704
120,-1.6608
121,-1.6688
122,-1.7024
123,-1.6848
124,-1.6944
125,-1.6992
126,-1.6848
127,-1.6768
128,-1.6816
129,-1.664
130,-1.672
131,-1.6736
132,-1.688
133,-1.6928
134,-1.6544
135,-1.6544
136,-1.6544
137,-1.68
138,-1.7008
139,-1.6864
140,-1.696
141,-1.6928
142,-1.6784
143,-1.6832
144,-1.6784
145,-1.6768
146,-1.6736
147,-1.6992
148,-1.7152
149,-1.6928
150,-1.6864
151,-1.6752
152,-1.688
153,-1.672
154,-1.6912
155,-1.6624
156,-1.7072
157,-1.7024
158,-1.6928
159,-1.6896
160,-1.7008
161,-1.6736
162,-1.7088
163,-1.688
164,-1.6912
165,-1.7024
166,-1.728
167,-1.7472
168,-1.76
169,-1.728
170,-1.7376
171,-1.7648
172,-1.7376
173,-1.6992
174,-1.7104
175,-1.6912
176,-1.6896
177,-1.7248
178,-1.7504
179,-1.7456
180,-1.7488
181,-1.7696
182,-1.72
183,-1.7248
184,-1.7344
185,-1.7344
186,-1.7648
187,-1.7328
188,-1.7456
189,-1.728
190,-1.7472
191,-1.7664
192,-1.7472
193,-1.7184
194,-1.7376
195,-1.7776
196,-1.7344
197,-1.7216
198,-1.736
199,-1.7504
200,-1.7264
201,-1.7568
202,-1.7568
203,-1.7488
204,-1.7296
205,-1.7408
206,-1.752
207,-1.7328
208,-1.7168
209,-1.7312
210,-1.7712
211,-1.7872
212,-1.8112
213,-1.7696
214,-1.7712
215,-1.7616
216,-1.7232
217,-1.752
218,-1.7776
219,-1.7712
220,-1.7568
221,-1.784
222,-1.7888
223,-1.7936
224,-1.7792
225,-1.7552
226,-1.7616
227,-1.7568
228,-1.7728
229,-1.7632
230,-1.7744
231,-1.7328
232,-1.752
233,-1.7008
234,-1.728
235,-1.72
236,-1.7408
237,-1.7392
238,-1.7584
239,-1.76
240,-1.7312
241,-1.7376
242,-1.7536
243,-1.7792
244,-1.7888
245,-1.7856
246,-1.7808
247,-1.7856
248,-1.776
249,-1.7712
