Iteracao,Magnetizacao
0,0.02
1,-0.0344
2,-0.0608
3,-0.0464
4,-0.044
5,-0.056
6,-0.0616
7,-0.0512
8,-0.0176
9,0.008
10,-0.0272
11,-0.0664
12,-0.06
13,-0.0272
14,-0.0024
15,0.0008
16,-0.0176
17,-0.0128
18,-0.0456
19,-0.0144
20,0.0064
21,-0.0056
22,-0.032
23,-0.0496
24,-0.0584
25,-0.0776
26,-0.0848
27,-0.0736
28,-0.076
29,-0.1184
30,-0.0984
31,-0.0712
32,-0.0848
33,-0.0632
34,-0.0424
35,-0.088
36,-0.0672
37,-0.0136
38,-0.0128
39,-0.0216
40,-0.04
41,-0.0304
42,-0.0184
43,0.004
44,-0.0104
45,-0.0248
46,-0.028
47,-0.0504
48,-0.0128
49,-0.0104
50,-0.0152
51,-0.0728
52,-0.0744
53,-0.0864
54,-0.0752
55,-0.0688
56,-0.0496
57,-0.0432
58,-0.04
59,-0.0584
60,-0.0488
61,-0.0704
62,-0.056
63,-0.0896
64,-0.1248
65,-0.0936
66,-0.0904
67,-0.0704
68,-0.0872
69,-0.0928
70,-0.06
71,-0.0752
72,-0.0464
73,-0.028
74,-0.032
75,0.012
76,0.0176
77,-0.004
78,-0.0304
79,-0.0264
80,-0.004
81,0.0088
82,0.0176
83,0.0328
84,0.0112
85,0.0144
86,0.0336
87,0.0056
88,0.028
89,0.0376
90,0.0544
91,0.0688
92,0.084
93,0.0864
94,0.048
95,0.0352
96,0.0584
97,0.0336
98,0.06
99,0.0704
100,0.0256
101,0.0008
102,-0.0312
103,-0.0216
104,0.0104
105,0.0032
106,0.0304
107,0.0424
108,0.04
109,0.0456
110,0.0464
111,0.064
112,0.0144
113,0.0176
114,-0.0096
115,-0.0016
116,-0.0008
117,0.0192
118,0.028
119,0.0432
120,0.0504
121,0.0736
122,0.0552
123,0.0528
124,0.0848
125,0.076
126,0.0776
127,0.0936
128,0.1192
129,0.1264
130,0.0848
131,0.0864
132,0.0704
133,0.0336
134,-0.0352
135,-0.028
136,-0.0528
137,-0.0672
138,-0.0424
139,-0.0528
140,-0.0568
141,-0.0688
142,-0.0648
143,-0.068
144,-0.096
145,-0.1232
146,-0.1032
147,-0.12
148,-0.144
149,-0.112
150,-0.136
151,-0.1552
152,-0.1536
153,-0.164
154,-0.18
155,-0.1456
156,-0.1152
157,-0.1128
158,-0.0984
159,-0.1136
160,-0.1504
161,-0.0952
162,-0.1328
163,-0.164
164,-0.1072
165,-0.1568
166,-0.14
167,-0.1544
168,-0.1408
169,-0.08
170,-0.0672
171,-0.0152
172,0.0104
173,0.016
174,0.0104
175,-0.0152
176,0.0056
177,0.0328
178,0.004
179,-0.0168
180,-0.052
181,-0.0536
182,-0.0648
183,-0.0952
184,-0.1296
185,-0.1576
186,-0.156
187,-0.1528
188,-0.1328
189,-0.116
190,-0.1312
191,-0.096
192,-0.0792
193,-0.1024
194,-0.0856
195,-0.0824
196,-0.072
197,-0.0664
198,-0.064
199,-0.0728
200,-0.0912
201,-0.0768
202,-0.0552
203,-0.0728
204,-0.0328
205,-0.0136
206,-0.0224
207,0.0104
208,-0.028
209,0.0
210,-0.0232
211,0.016
212,0.0552
213,0.0552
214,0.0864
215,0.0936
216,0.16
217,0.1768
218,0.184
219,0.1768
220,0.1904
221,0.1792
222,0.168
223,0.1608
224,0.1584
225,0.1728
226,0.1136
227,0.1376
228,0.1288
229,0.0992
230,0.124
231,0.1344
232,0.1312
233,0.1456
234,0.168
235,0.168
236,0.1448
237,0.1768
238,0.1744
239,0.1408
240,0.1592
241,0.18
242,0.2192
243,0.1656
244,0.1624
245,0.1344
246,0.1008
247,0.072
248,0.0328
249,0.0408
250,0.0424
251,0.0344
252,0.0568
253,0.016
254,0.0328
255,0.0344
256,0.0648
257,0.0328
258,0.0296
259,0.0496
260,0.0448
261,0.0096
262,-0.0288
263,-0.0208
264,0.0184
265,0.0056
266,-0.0072
267,-0.056
268,-0.0576
269,-0.0728
270,-0.0856
271,-0.1008
272,-0.1096
273,-0.1024
274,-0.112
275,-0.1128
276,-0.1808
277,-0.2328
278,-0.2656
279,-0.2376
280,-0.2208
281,-0.24
282,-0.2336
283,-0.2392
284,-0.1896
285,-0.1672
286,-0.1464
287,-0.1664
288,-0.1576
289,-0.1336
290,-0.136
291,-0.1368
292,-0.12
293,-0.1048
294,-0.14
295,-0.1064
296,-0.1176
297,-0.1272
298,-0.1072
299,-0.1312
300,-0.1264
301,-0.1528
302,-0.104
303,-0.0624
304,-0.0304
305,-0.0288
306,-0.0016
307,-0.0752
308,-0.0728
309,-0.1072
310,-0.0776
311,-0.1
312,-0.1096
313,-0.1152
314,-0.096
315,-0.0488
316,-0.056
317,-0.0288
318,-0.0272
319,-0.0088
320,-0.0112
321,-0.028
322,-0.0176
323,0.0064
324,0.0384
325,0.032
326,0.008
327,0.0176
328,0.0232
329,0.0488
330,0.0256
331,0.012
332,0.0232
333,0.0192
334,-0.0272
335,0.008
336,-0.0312
337,-0.0424
338,-0.0408
339,-0.0368
340,-0.0104
341,-0.0112
342,-0.0168
343,-0.0224
344,-0.0384
345,-0.0616
346,-0.0296
347,-0.0376
348,-0.028
349,0.0016
350,0.0128
351,0.032
352,0.0152
353,0.0016
354,-0.0288
355,-0.0312
356,-0.0504
357,-0.032
358,-0.0408
359,-0.0432
360,-0.032
361,-0.0136
362,-0.0064
363,0.0368
364,0.0088
365,-0.0008
366,-0.008
367,-0.028
368,-0.0344
369,-0.0416
370,-0.0624
371,-0.0624
372,-0.0592
373,-0.0816
374,-0.0736
375,-0.104
376,-0.112
377,-0.0856
378,-0.0656
379,-0.0624
380,-0.0496
381,-0.0416
382,-0.0856
383,-0.072
384,-0.0752
385,-0.0168
386,-0.0032
387,0.0152
388,-0.004
389,-0.008
390,-0.012
391,-0.0104
392,0.0144
393,0.0072
394,0.0168
395,-0.0216
396,-0.0344
397,-0.032
398,0.0328
399,-0.0192
400,-0.0368
401,-0.0656
402,-0.0416
403,0.0112
404,0.0296
405,0.0344
406,0.016
407,0.0256
408,-0.0104
409,-0.0152
410,0.0312
411,0.0264
412,0.0328
413,-0.0008
414,0.0224
415,0.016
416,0.0336
417,0.0184
418,0.016
419,0.0616
420,0.112
421,0.0672
422,0.0816
423,0.0784
424,0.0472
425,0.0464
426,0.0672
427,0.0936
428,0.0464
429,0.0272
430,-0.0096
431,-0.028
432,-0.0296
433,-0.0088
434,-0.0264
435,-0.004
436,-0.0088
437,-0.0128
438,0.0112
439,0.012
440,0.0016
441,0.0
442,0.02
443,0.008
444,0.0216
445,0.024
446,0.0232
447,0.0664
448,0.036
449,0.0544
450,0.0304
451,0.0504
452,0.0144
453,0.008
454,-0.0048
455,0.0136
456,0.0336
457,0.008
458,0.0024
459,0.0144
460,-0.008
461,-0.024
462,-0.0056
463,-0.0304
464,-0.0248
465,-0.0304
466,0.0096
467,-0.0144
468,-0.0352
469,-0.0736
470,-0.0584
471,-0.0824
472,-0.0552
473,-0.0368
474,-0.0664
475,-0.0936
476,-0.104
477,-0.0648
478,-0.0616
479,-0.036
480,-0.024
481,-0.004
482,-0.0168
483,-0.0112
484,0.0128
485,-0.0208
486,-0.0088
487,-0.0568
488,-0.0456
489,-0.0472
490,-0.0336
491,-0.02
492,0.0024
493,-0.0024
494,-0.032
495,-0.0384
496,-0.024
497,0.0248
498,0.0688
499,0.0952
