Iteracao,Energia
0,-0.4784
1,-0.648
2,-0.7088
3,-0.6784
4,-0.6608
5,-0.6608
6,-0.7232
7,-0.6976
8,-0.7216
9,-0.7344
10,-0.6992
11,-0.6864
12,-0.6864
13,-0.6688
14,-0.6912
15,-0.6704
16,-0.704
17,-0.7728
18,-0.728
19,-0.7984
20,-0.7328
21,-0.6848
22,-0.7056
23,-0.6976
24,-0.6688
25,-0.6608
26,-0.7184
27,-0.6368
28,-0.6384
29,-0.6816
30,-0.6976
31,-0.6848
32,-0.728
33,-0.752
34,-0.7088
35,-0.7232
36,-0.6816
37,-0.6992
38,-0.7104
39,-0.7024
40,-0.7344
41,-0.7136
42,-0.7584
43,-0.696
44,-0.6768
45,-0.6944
46,-0.6544
47,-0.6736
48,-0.6688
49,-0.6784
50,-0.696
51,-0.6912
52,-0.688
53,-0.72
54,-0.7232
55,-0.7136
56,-0.6608
57,-0.6928
58,-0.7184
59,-0.72
60,-0.736
61,-0.6992
62,-0.7008
63,-0.6864
64,-0.792
65,-0.7488
66,-0.6848
67,-0.6336
68,-0.6816
69,-0.6784
70,-0.6592
71,-0.6672
72,-0.7056
73,-0.6624
74,-0.6944
75,-0.6224
76,-0.6736
77,-0.6768
78,-0.7504
79,-0.7392
80,-0.7424
81,-0.72
82,-0.7168
83,-0.6704
84,-0.6976
85,-0.7424
86,-0.7296
87,-0.7408
88,-0.6576
89,-0.7264
90,-0.6896
91,-0.7072
92,-0.7232
93,-0.6864
94,-0.7296
95,-0.6544
96,-0.7072
97,-0.6896
98,-0.7104
99,-0.6816
100,-0.7024
101,-0.6512
102,-0.6544
103,-0.7104
104,-0.7456
105,-0.7264
106,-0.7504
107,-0.7856
108,-0.7344
109,-0.736
110,-0.7344
111,-0.728
112,-0.72
113,-0.7104
114,-0.664
115,-0.6624
116,-0.7088
117,-0.7424
118,-0.672
119,-0.68
120,-0.7072
121,-0.64
122,-0.5984
123,-0.6608
124,-0.6496
125,-0.688
126,-0.6848
127,-0.6416
128,-0.6576
129,-0.6592
130,-0.704
131,-0.664
132,-0.6832
133,-0.704
134,-0.6256
135,-0.6752
136,-0.648
137,-0.592
138,-0.648
139,-0.6032
140,-0.576
141,-0.648
142,-0.6272
143,-0.6336
144,-0.656
145,-0.6976
146,-0.7392
147,-0.7056
148,-0.68
149,-0.6784
150,-0.7344
151,-0.6992
152,-0.6704
153,-0.7472
154,-0.7216
155,-0.7248
156,-0.6688
157,-0.6688
158,-0.6944
159,-0.7088
160,-0.7696
161,-0.7008
162,-0.6864
163,-0.6608
164,-0.656
165,-0.6896
166,-0.6944
167,-0.6896
168,-0.704
169,-0.7008
170,-0.744
171,-0.68
172,-0.7152
173,-0.6864
174,-0.7104
175,-0.6752
176,-0.7344
177,-0.6864
178,-0.7184
179,-0.6608
180,-0.68
181,-0.6848
182,-0.7248
183,-0.6992
184,-0.7088
185,-0.6768
186,-0.7056
187,-0.7344
188,-0.6752
189,-0.6624
190,-0.6832
191,-0.6928
192,-0.688
193,-0.6912
194,-0.7008
195,-0.7264
196,-0.7232
197,-0.6544
198,-0.6976
199,-0.744
200,-0.6768
201,-0.6832
202,-0.656
203,-0.6912
204,-0.7136
205,-0.6976
206,-0.7888
207,-0.744
208,-0.7008
209,-0.6944
210,-0.7184
211,-0.6928
212,-0.7392
213,-0.7504
214,-0.7168
215,-0.7088
216,-0.6832
217,-0.7408
218,-0.7392
219,-0.7264
220,-0.7232
221,-0.6496
222,-0.64
223,-0.6928
224,-0.6432
225,-0.5984
226,-0.6128
227,-0.5984
228,-0.6848
229,-0.6752
