Iteracao,Magnetizacao
0,-0.0288
1,-0.0448
2,-0.0184
3,0.0224
4,0.0144
5,0.0288
6,0.0376
7,-0.0096
8,-0.0088
9,-0.0128
10,0.0368
11,0.012
12,0.012
13,0.016
14,0.0344
15,0.0288
16,0.0
17,-0.0048
18,0.0176
19,0.0248
20,0.0384
21,0.0456
22,0.0384
23,0.0272
24,0.0384
25,0.0776
26,0.104
27,0.068
28,0.0312
29,0.0472
30,-0.0016
31,-0.0528
32,-0.0648
33,-0.0776
34,-0.0624
35,0.004
36,-0.0192
37,-0.0328
38,0.0424
39,0.04
40,0.0248
41,0.0016
42,-0.016
43,-0.0152
44,-0.0656
45,-0.1072
46,-0.0616
47,-0.0424
48,-0.0248
49,-0.0472
50,-0.016
51,-0.0456
52,-0.0208
53,0.0032
54,0.0232
55,0.0464
56,0.068
57,0.1152
58,0.1216
59,0.0984
60,0.0632
61,0.0792
62,0.0032
63,0.048
64,0.0752
65,0.1168
66,0.0704
67,0.0352
68,0.0424
69,0.0672
70,0.0496
71,0.08
72,0.0664
73,0.0512
74,0.04
75,0.0704
76,0.0688
77,0.12
78,0.1584
79,0.1904
80,0.2056
81,0.196
82,0.1528
83,0.1544
84,0.1216
85,0.0952
86,0.088
87,0.0448
88,0.0024
89,0.0216
90,0.0296
91,0.0384
92,0.0088
93,-0.0024
94,-0.0008
95,-0.0504
96,0.012
97,-0.0024
98,-0.0408
99,-0.0264
100,-0.0376
101,-0.0424
102,-0.0408
103,-0.048
104,-0.0064
105,-0.0248
106,-0.0424
107,-0.0128
108,-0.0296
109,-0.0024
110,0.0144
111,0.0288
112,-0.0056
113,-0.0184
114,-0.0472
115,-0.0904
116,-0.1248
117,-0.1456
118,-0.1136
119,-0.1032
120,-0.1056
121,-0.096
122,-0.1096
123,-0.1624
124,-0.1272
125,-0.0792
126,-0.1416
127,-0.0968
128,-0.1224
129,-0.1336
130,-0.1296
131,-0.0776
132,-0.0568
133,-0.0424
134,-0.032
135,-0.0224
136,-0.0336
137,-0.0352
138,-0.0288
139,-0.0216
140,-0.0056
141,0.032
142,0.0448
143,0.0696
144,0.0752
145,0.0464
146,0.0688
147,0.0488
148,0.0688
149,0.076
150,0.072
151,0.076
152,0.0784
153,0.0624
154,0.0248
155,0.064
156,0.0344
157,-0.0248
158,0.0368
159,-0.016
160,0.0024
161,0.0216
162,0.02
163,0.052
164,0.1032
165,0.1048
166,0.0672
167,0.0264
168,0.0224
169,-0.0088
170,0.0152
171,0.06
172,0.0128
173,-0.004
174,0.0032
175,-0.0232
176,-0.0368
177,-0.036
178,-0.0776
179,-0.1264
180,-0.0912
181,-0.1016
182,-0.0696
183,-0.028
184,-0.0664
185,-0.0544
186,-0.0872
187,-0.0152
188,0.0032
189,0.044
190,0.0392
191,-0.0008
192,-0.004
193,0.0064
194,0.0472
195,0.0424
196,0.0992
197,0.1104
198,0.1104
199,0.0896
200,0.0544
201,0.0248
202,0.0464
203,-0.0064
204,-0.0416
205,-0.0136
206,-0.0368
207,-0.0392
208,-0.0928
209,-0.0848
210,-0.0664
211,-0.1064
212,-0.0664
213,-0.0264
214,0.008
215,0.012
216,0.0448
217,0.0592
218,0.0224
219,0.0232
220,0.0168
221,-0.0264
222,-0.0032
223,-0.0712
224,-0.0368
225,0.0032
226,-0.0144
227,-0.032
228,-0.0224
229,0.0152
230,0.0216
231,0.0168
232,-0.0272
233,0.0008
234,-0.0352
235,-0.0336
236,-0.0296
237,-0.044
238,-0.0416
239,-0.0432
240,-0.0392
241,0.004
242,0.0056
243,0.0152
244,-0.0056
245,0.0056
246,-0.0088
247,0.0232
248,-0.0184
249,-0.032
250,-0.0568
251,-0.076
252,-0.08
253,-0.0928
254,-0.1016
255,-0.0432
256,-0.0152
257,0.0496
258,0.0032
259,0.0128
260,-0.0152
261,0.008
262,-0.0112
263,0.0032
264,-0.0336
265,-0.028
266,-0.068
267,-0.0344
268,-0.04
269,-0.072
270,-0.0536
271,-0.024
272,-0.04
273,-0.0736
274,-0.04
275,-0.052
276,-0.0256
277,-0.0424
278,-0.048
279,-0.0656
280,-0.0592
281,0.0056
282,0.0112
283,0.0032
284,0.0512
285,0.0528
286,0.0056
287,0.0256
288,0.0344
289,0.028
290,0.0096
291,0.0304
292,0.04
293,-0.0128
294,-0.016
295,0.0136
296,-0.0096
297,-0.0272
298,-0.036
299,-0.0576
300,-0.0744
301,-0.0336
302,-0.0464
303,-0.0752
304,-0.0576
305,-0.0544
306,-0.0344
307,-0.0072
308,0.0192
309,0.0888
310,0.0608
311,0.0168
312,0.0392
313,0.0352
314,0.0432
315,0.008
316,-0.0888
317,-0.1128
318,-0.108
319,-0.08
320,-0.0824
321,-0.0864
322,-0.0648
323,-0.06
324,-0.044
325,-0.0592
326,-0.068
327,-0.0544
328,-0.0088
329,-0.0528
330,-0.0696
331,-0.0464
332,-0.0368
333,-0.0176
334,0.0192
335,0.0584
336,0.0144
337,0.0008
338,-0.0048
339,-0.02
340,-0.036
341,-0.0216
342,-0.0112
343,-0.0192
344,-0.016
345,0.0008
346,-0.0184
347,0.0056
348,-0.0192
349,-0.0416
350,0.012
351,-0.0064
352,0.0192
353,0.028
354,0.016
355,-0.0224
356,-0.0216
357,0.0432
358,0.0296
359,0.0344
360,-0.0048
361,0.0152
362,-0.0456
363,-0.0144
364,-0.044
365,-0.0424
366,-0.048
367,-0.0624
368,-0.0104
369,0.0144
370,0.036
371,0.0344
372,0.048
373,0.0464
374,0.0768
375,0.064
376,0.0696
377,0.0584
378,0.0488
379,0.0648
380,0.036
381,-0.0104
382,0.02
383,0.0056
384,0.0256
385,0.024
386,-0.0032
387,0.0104
388,0.0344
389,0.0376
390,-0.0288
391,-0.0312
392,-0.0232
393,-0.0416
394,-0.008
395,0.0224
396,0.0608
397,0.024
398,0.0048
399,0.0048
400,0.0216
401,-0.0088
402,-0.0168
403,0.0272
404,0.0544
405,0.0616
406,0.0472
407,0.0624
408,0.1248
409,0.088
410,0.0824
411,0.0944
412,0.0944
413,0.088
414,0.0232
415,0.0608
416,0.044
417,0.0408
418,0.0352
419,0.0104
420,0.0264
421,-0.0016
422,-0.008
423,-0.012
424,-0.0168
425,-0.0608
426,-0.0432
427,-0.0624
428,-0.0632
429,-0.0792
430,-0.096
431,-0.084
432,-0.0864
433,-0.0464
434,-0.0248
435,-0.0608
436,-0.0632
437,-0.0016
438,0.036
439,-0.0008
440,-0.0328
441,-0.0744
442,-0.0296
443,-0.0208
444,0.012
445,0.016
446,0.0128
