x,phi_LBM,phi_exact,error
0.0,1.586622890123882e-05,0.0,1.586622890123882e-05
0.005025125628140704,0.008406155821124018,0.03156854976481053,0.02316239394368651
0.010050251256281407,0.01887593727840312,0.06310563131267365,0.04422969403427053
0.01507537688442211,0.02932435708329969,0.09457980779484494,0.06525545071154526
0.020100502512562814,0.039740968829020805,0.12595970506771756,0.08621873623869675
0.02512562814070352,0.05011535744232463,0.15721404296725078,0.10709868552492616
0.03015075376884422,0.06043715010162854,0.18831166648971787,0.12787451638808933
0.035175879396984924,0.07069602589691742,0.21922157684769134,0.1485255509507739
0.04020100502512563,0.08088172698082322,0.24991296237030836,0.16903123538948514
0.04522613065326633,0.09098406778481419,0.28035522921701445,0.18937116143220026
0.05025125628140704,0.10099294636786749,0.3105180318741688,0.20952508550630133
0.05527638190954774,0.1108983531425875,0.34037130340411287,0.22947295026152537
0.06030150753768844,0.12069038238637265,0.3698852854165468,0.24919490303017416
0.06532663316582915,0.13035924043199087,0.399030557732341,0.2686713173003501
0.07035175879396985,0.1398952573065716,0.4277780677102096,0.287882810403638
0.07537688442211056,0.14928889434221834,0.456099159207016,0.3068102648647977
0.08040201005025126,0.1585307559087344,0.48396560114283876,0.3254348452341044
0.08542713567839195,0.16761159640107226,0.5113496156423266,0.34373801924125436
0.09045226130653267,0.17652233203242312,0.5382239057242886,0.36170157369186545
0.09547738693467336,0.18525404715668772,0.5645616825119181,0.3793076353552304
0.10050251256281408,0.19379800608942066,0.5903366919365284,0.3965386858471077
0.10552763819095477,0.2021456587250525,0.6155232409081792,0.4133775821831267
0.11055276381909548,0.2102886523541771,0.6400962229271072,0.4298075705729301
0.11557788944723618,0.21821883653695429,0.6640311431104312,0.4458123065734769
0.12060301507537688,0.22592827488635697,0.6873041426091843,0.4613758677228273
0.12562814070351758,0.23340924916103142,0.7098920223913328,0.4764827732303013
0.1306532663316583,0.24065427098537484,0.7317722663670768,0.491117995381702
0.135678391959799,0.24765608512712234,0.752923063833377,0.5052669787062547
0.1407035175879397,0.2544076811264967,0.773323331215339,0.5189156500888423
0.1457286432160804,0.26090229572591983,0.7929527330827786,0.5320504373568588
0.15075376884422112,0.2671334243819612,0.8117917024210208,0.5446582780390596
0.15577889447236182,0.273094822816827,0.8298214601357259,0.5567266373188988
0.16080402010050251,0.27878051838842466,0.8470240337722988,0.5682435153838742
0.1658291457286432,0.28418481073566176,0.8633822754312234,0.5791974646955615
0.1708542713567839,0.28930228298362826,0.8788798788614602,0.589577595877832
0.17587939698492464,0.2941278014572305,0.8935013957148741,0.5993735942576436
0.18090452261306533,0.2986565267002696,0.9072322509454814,0.6085757242452119
0.18592964824120603,0.30288391223452893,0.9200587573381745,0.6171748451036456
0.19095477386934673,0.30680571537338763,0.9319681291524348,0.6251624137790471
0.19597989949748745,0.31041799500617034,0.942948494867437,0.6325304998612666
0.20100502512562815,0.3137171221888635,0.9529889090158392,0.6392717868269757
0.20603015075376885,0.3166997769363125,0.9620793630944628,0.6453795861581504
0.21105527638190955,0.31936295857460384,0.9702107955409863,0.6508478369663825
0.21608040201005024,0.321703981526548,0.9773751007667072,0.6556711192401592
0.22110552763819097,0.32372048541233567,0.98356513723637,0.6598446518240343
0.22613065326633167,0.325410429816665,0.9887747345870026,0.6633643047703376
0.23115577889447236,0.32677210412637325,0.9929986997786696,0.6662265956522964
0.23618090452261306,0.3278041212705406,0.9962328222710067,0.6684287010004661
0.24120603015075376,0.3285054272859272,0.9984738782203788,0.6699684509344517
0.24623115577889448,0.3288752940244042,0.9997196336934779,0.6708443396690738
0.25125628140703515,0.3289133284391792,0.9999688468941563,0.6710555184549771
0.2562814070351759,0.32861946425696115,0.9992212694012756,0.6706018051443146
0.2613065326633166,0.3279939709801238,0.9974776464163387,0.669483675436215
0.2663316582914573,0.32703744452408967,0.994739716020657,0.6677022714965674
0.271356783919598,0.3257508159327522,0.9910102074427921,0.66525939151004
0.2763819095477387,0.3241353409846595,0.9862928383380027,0.6621574973533433
0.2814070351758794,0.32219260862118054,0.9805923110824041,0.6583997024612236
0.2864321608040201,0.3199245295281629,0.9739143080855377,0.6539897785573747
0.2914572864321608,0.3173333442784841,0.9662654861260219,0.6489321418475378
0.2964824120603015,0.3144216108989402,0.9576534697159296,0.6432318588169894
0.30150753768844224,0.31119221273094977,0.9480868435005095,0.6368946307695598
0.3065326633165829,0.3076483449954988,0.9375751437008251,0.6299267987053263
0.31155778894472363,0.30379352237785484,0.9261288486078412,0.6223353262299863
0.3165829145728643,0.29963156460642976,0.9137593681374367,0.6141278035310069
0.32160804020100503,0.29516660376940856,0.9004790324567516,0.605312428687343
0.32663316582914576,0.29040306892638723,0.8863010796932087,0.5958980107668215
0.3316582914572864,0.28534569316681113,0.8712396427384597,0.5858939495716485
0.33668341708542715,0.2799994972761907,0.8553097351604118,0.575310237884221
0.3417085427135678,0.274369796548172,0.8385272362373776,0.5641574396892055
0.34673366834170855,0.26846218353001416,0.8209088751292626,0.5524466915992484
0.35175879396984927,0.2622825346019707,0.802472214201578,0.5401896795996073
0.35678391959798994,0.2558369918295234,0.7832356315188905,0.5273986396893671
0.36180904522613067,0.24913196932552387,0.7632183025251684,0.5140863331996446
0.36683417085427134,0.24217413423941084,0.7424401809292833,0.5002660466898725
0.37185929648241206,0.2349704129192406,0.7209219788147164,0.48595156589547583
0.3768844221105528,0.22752797107075567,0.6986851459933066,0.4711571749225509
0.38190954773869346,0.21985421973801506,0.6757518486236088,0.45589762888559376
0.3869346733668342,0.21195679466772174,0.6521449471151868,0.440188152447465
0.3919597989949749,0.20384356212863894,0.6278879733408583,0.42404441121221936
0.3969849246231156,0.19552259751901638,0.6030051071796145,0.4074825096605982
0.4020100502512563,0.18700219104634,0.5775211524135886,0.3905189613672486
0.40703517587939697,0.1782908256180123,0.5514615120031076,0.37317068638509526
0.4120603015075377,0.16939718240422333,0.5248521627644684,0.35545498036024514
0.4170854271356784,0.1603301180542319,0.497719629475683,0.3373895114214511
0.4221105527638191,0.15109867016625778,0.47009095843600296,0.3189922882697452
0.4271356783919598,0.14171203387377138,0.44199369050557913,0.3002816566318077
0.4321608040201005,0.13217956724728638,0.4134558336521342,0.2812762664048478
0.4371859296482412,0.12251076729698675,0.384505835032011,0.2619950677350243
0.44221105527638194,0.11271527533213946,0.35517255263342823,0.24245727730128877
0.4472361809045226,0.10280285242816649,0.32548522651021206,0.22268237408204555
0.45226130653266333,0.0927833847700933,0.29547344963467004,0.20269006486457675
0.457286432160804,0.08266685863380104,0.2651671383986787,0.1825002797648777
0.4623115577889447,0.07246336574047586,0.23459650279236888,0.16213313705189303
0.46733668341708545,0.062183077803249075,0.20379201629015192,0.14160893848690284
0.4723618090452261,0.0518362519200103,0.17278438547409986,0.12094813355408957
0.47738693467336685,0.04143320473795591,0.14160451942495159,0.10017131468699567
0.4824120603015075,0.03098431791237303,0.11028349891127508,0.07929918099890204
0.48743718592964824,0.020500011942765857,0.0788525454074766,0.05835253346471075
0.49246231155778897,0.009990751725304317,0.04734298997155776,0.037352238246253444
0.49748743718592964,-0.0005329798848190241,0.015786242013637264,0.016319221898456287
0.5025125628140703,-0.011060676399653288,-0.015786242013636577,0.004725565613983289
0.507537688442211,-0.021581834354435732,-0.04734298997155752,0.025761155617121785
0.5125628140703518,-0.03208594748517705,-0.07885254540747635,0.046766597922299306
0.5175879396984925,-0.04256253354680313,-0.11028349891127483,0.0677209653644717
0.5226130653266332,-0.05300112831505944,-0.14160451942495178,0.08860339110989235
0.5276381909547738,-0.06339131251027043,-0.1727843854740992,0.10939307296382876
0.5326633165829145,-0.07372270559711061,-0.20379201629015167,0.13006931069304106
0.5376884422110553,-0.0839849927571076,-0.23459650279236863,0.15061151003526102
0.542713567839196,-0.09416791846053528,-0.2651671383986785,0.1709992199381432
0.5477386934673367,-0.10426131343066333,-0.29547344963467026,0.19121213620400693
0.5527638190954774,-0.11425508796289262,-0.32548522651021183,0.2112301385473192
0.5577889447236181,-0.12413925882380283,-0.355172552633428,0.23103329380962517
0.5628140703517588,-0.13390394229366975,-0.38450583503201075,0.250601892738341
0.5678391959798995,-0.14353938094358307,-0.41345583365213395,0.2699164527085509
0.5728643216080402,-0.153035936378655,-0.4419936905055793,0.28895775412692426
0.577889447236181,-0.16238411583687087,-0.4700909584360031,0.3077068425991323
0.5829145728643216,-0.17157456461161663,-0.49771962947568277,0.32614506486406614
0.5879396984924623,-0.18059809241648062,-0.5248521627644683,0.3442540703479877
0.592964824120603,-0.18944566546719024,-0.5514615120031073,0.3620158465359171
0.5979899497487438,-0.19810843255730265,-0.5775211524135888,0.37941271985628616
0.6030150753768845,-0.2065777167812409,-0.6030051071796146,0.3964273903983737
0.6080402010050251,-0.21484504126669168,-0.6278879733408581,0.4130429320741664
0.6130653266331658,-0.2229021205221652,-0.6521449471151866,0.4292428265930214
0.6180904522613065,-0.23074088577295176,-0.6757518486236087,0.44501096285065694
0.6231155778894473,-0.23835347591849115,-0.6986851459933067,0.4603316700748155
0.628140703517588,-0.24573226241992532,-0.7209219788147165,0.47518971639479124
0.6331658291457286,-0.25286983985454453,-0.7424401809292829,0.48957034107473835
0.6381909547738693,-0.25975905030430163,-0.7632183025251682,0.5034592522208665
0.6432160804020101,-0.2663929734967001,-0.7832356315188904,0.5168426580221903
0.6482412060301508,-0.2727649506451016,-0.8024722142015781,0.5297072635564766
0.6532663316582915,-0.27886857416762284,-0.8209088751292625,0.5420403009616397
0.6582914572864321,-0.28469771093166846,-0.838527236237377,0.5538295253057086
0.6633165829145728,-0.2902464915447034,-0.8553097351604116,0.5650632436157083
0.6683417085427136,-0.2955093329571673,-0.8712396427384596,0.5757303097812922
0.6733668341708543,-0.3004809273213772,-0.8863010796932088,0.5858201523718316
0.678391959798995,-0.30515626390882455,-0.9004790324567515,0.595322768547927
0.6834170854271356,-0.3095306175359294,-0.9137593681374364,0.6042287506015069
0.6884422110552764,-0.313599569753675,-0.9261288486078411,0.6125292788541661
0.6934673366834171,-0.3173589968414753,-0.9375751437008251,0.6202161468593498
0.6984924623115578,-0.32080509022915293,-0.9480868435005096,0.6272817532713567
0.7035175879396985,-0.32393434406278665,-0.9576534697159295,0.6337191256531428
0.7085427135678392,-0.32674357482118227,-0.9662654861260217,0.6395219113048394
0.7135678391959799,-0.32922990846022077,-0.9739143080855377,0.6446843996253169
0.7185929648241206,-0.3313907991882019,-0.9805923110824041,0.6492015118942022
0.7236180904522613,-0.33322401619790787,-0.9862928383380027,0.6530688221400949
0.7286432160804021,-0.3347276615675029,-0.9910102074427921,0.6562825458752892
0.7336683417085427,-0.3359001565922527,-0.9947397160206569,0.6588395594284042
0.7386934673366834,-0.33674025878003555,-0.9974776464163387,0.6607373876363032
0.7437185929648241,-0.3372470477973994,-0.9992212694012756,0.6619742216038762
0.7487437185929648,-0.33741994153116633,-0.9999688468941563,0.66254890536299
0.7537688442211056,-0.33725868166626416,-0.9997196336934779,0.6624609520272138
0.7587939698492463,-0.33676334878737724,-0.9984738782203788,0.6617105294330016
0.7638190954773869,-0.3359343476087424,-0.9962328222710067,0.6602984746622643
0.7688442211055276,-0.3347724210923044,-0.9929986997786696,0.6582262786863653
0.7738693467336684,-0.3332786353524066,-0.9887747345870026,0.655496099234596
0.7788944723618091,-0.33145439276944444,-0.98356513723637,0.6521107444669255
0.7839195979899498,-0.3293014165950958,-0.9773751007667072,0.6480736841716114
0.7889447236180904,-0.32682176304301547,-0.9702107955409863,0.6433890324979709
