Iteracao,Magnetizacao
0,-0.0296
1,0.0208
2,0.0224
3,0.0072
4,0.06
5,0.0608
6,0.0376
7,0.0856
8,0.012
9,0.0216
10,0.008
11,0.0712
12,0.0968
13,0.056
14,0.0296
15,0.04
16,0.0
17,-0.0096
18,-0.0112
19,0.0216
20,0.0176
21,0.0008
22,-0.0048
23,0.0336
24,0.0696
25,0.02
26,0.0496
27,0.0624
28,0.0472
29,0.0392
30,0.0344
31,0.0464
32,0.0704
33,0.016
34,0.0016
35,0.0072
36,0.0304
37,0.0272
38,0.048
39,0.0456
40,-0.0256
41,-0.056
42,-0.0216
43,0.0064
44,0.0312
45,0.0216
46,0.028
47,0.004
48,-0.0096
49,-0.02
50,0.0384
51,0.0352
52,0.0056
53,-0.0088
54,-0.0336
55,-0.0256
56,0.0024
57,0.0496
58,-0.0248
59,-0.052
60,-0.0152
61,-0.0568
62,-0.0608
63,-0.0248
64,-0.0512
65,-0.0072
66,0.0288
67,0.0856
68,0.0552
69,0.0472
70,0.0176
71,0.0064
72,-0.0304
73,-0.0584
74,-0.0632
75,-0.0088
76,0.028
77,0.06
78,0.024
79,-0.0216
80,-0.0088
81,-0.0112
82,-0.0112
83,0.0104
84,0.024
85,0.052
86,0.0464
87,0.0112
88,-0.032
89,-0.0568
90,-0.048
91,-0.036
92,-0.0456
93,-0.0664
94,-0.0544
95,-0.0008
96,-0.0072
97,-0.0136
98,-0.0328
99,-0.0264
100,-0.024
101,-0.0328
102,-0.024
103,-0.0448
104,-0.0472
105,-0.052
106,-0.048
107,-0.0512
108,-0.0144
109,-0.0152
110,-0.0408
111,-0.036
112,-0.0472
113,-0.0288
114,0.0048
115,0.032
116,-0.028
117,-0.0592
118,-0.0584
119,-0.0224
120,0.0008
121,0.0384
122,0.0304
123,0.0384
124,0.0184
125,0.028
126,0.0448
127,0.0408
128,0.024
129,0.0496
130,0.0544
131,0.0672
132,0.072
133,0.0664
134,0.0592
135,0.0384
136,0.0624
137,0.0744
138,0.0008
139,0.0448
140,0.0008
141,0.0256
142,0.068
143,0.0272
144,0.0472
145,0.0208
146,0.02
147,-0.02
148,0.0104
149,-0.0016
150,0.0096
151,-0.0056
152,-0.0552
153,-0.0368
154,-0.0248
155,0.0032
156,0.02
157,0.0176
158,0.0288
159,0.008
160,0.0376
161,0.0704
162,-0.0272
163,-0.0064
164,0.0208
165,0.0224
166,0.0208
167,-0.0152
168,-0.0368
169,-0.0424
170,-0.0016
171,0.008
172,-0.0104
173,0.0288
174,-0.0048
175,0.0312
176,0.0176
177,0.0072
178,0.0304
179,0.0112
180,0.0344
181,0.028
182,-0.0088
183,-0.0232
184,-0.02
185,-0.0328
186,-0.0184
187,-0.0368
188,-0.024
189,0.012
190,0.0352
191,0.0632
192,0.0544
193,0.0544
194,0.0824
195,0.0904
196,0.0688
197,0.0552
198,0.0536
199,0.0488
200,0.0512
201,0.0056
202,-0.048
203,-0.0632
204,-0.0392
205,-0.0144
206,-0.0144
207,0.008
208,-0.0296
209,0.0136
210,-0.0104
211,0.0176
212,0.0008
213,-0.0128
214,-0.0232
215,-0.064
216,-0.064
217,-0.0584
218,-0.0224
219,0.0096
220,0.028
221,-0.0008
222,-0.0056
223,0.004
224,0.0448
225,0.0376
226,0.0512
227,0.0152
228,-0.0464
229,-0.0672
230,-0.0512
231,-0.0624
232,-0.0464
233,-0.0464
234,-0.0184
235,0.0288
236,0.0544
237,-0.0088
238,0.0232
239,0.0136
240,0.0168
241,0.0128
242,0.0264
243,0.0384
244,0.0792
245,0.0488
246,0.024
247,-0.0192
248,-0.0424
249,-0.0656
250,-0.0536
251,-0.0368
252,-0.072
253,-0.044
254,-0.1096
255,-0.124
256,-0.0784
257,-0.0248
258,-0.0144
259,-0.0216
260,0.0256
261,0.0448
262,0.0352
263,0.0672
264,0.0528
265,-0.0144
266,0.0352
267,0.04
268,0.0384
269,0.0184
270,0.0312
271,0.024
272,0.0312
273,0.0448
274,0.0272
275,0.0376
276,-0.0024
277,-0.0088
278,0.0016
279,-0.0512
280,-0.0328
281,-0.0136
282,0.048
283,-0.0008
284,0.0008
285,0.008
286,-0.0176
287,-0.0264
288,0.0144
289,0.0432
290,0.032
291,0.0232
292,0.0736
293,0.0872
294,0.0888
295,0.0256
296,0.0792
297,0.0936
298,0.0664
299,0.0432
300,-0.016
301,0.0088
302,0.0192
303,0.0232
304,0.0464
305,-0.0408
306,-0.0128
307,-0.0072
308,-0.0384
309,-0.064
310,-0.0456
311,-0.0344
312,-0.0304
313,-0.0072
314,0.0256
315,-0.0136
316,-0.012
317,0.0216
318,-0.036
319,-0.0032
320,-0.0592
321,-0.032
322,-0.0728
323,0.0008
324,0.0096
325,0.0136
326,0.0456
327,0.0488
328,0.0144
329,0.0712
330,0.0512
331,0.0752
332,0.0944
333,0.1152
334,0.112
335,0.0448
336,-0.0016
337,-0.0128
338,0.02
339,0.0296
340,-0.0152
341,0.0176
342,-0.0024
343,-0.0016
344,0.02
345,0.0272
346,-0.0128
347,-0.0064
348,-0.0088
349,0.0192
350,-0.0128
351,-0.0112
352,0.0104
353,0.0008
354,-0.0192
355,-0.0048
356,0.0248
357,0.0192
358,0.0304
359,0.0776
360,0.116
361,0.0928
362,0.1248
363,0.0688
364,0.0472
365,0.0
366,-0.0096
367,-0.0336
368,-0.0344
369,-0.0976
370,-0.0624
371,-0.02
372,0.0152
373,-0.06
374,-0.0024
375,0.0104
376,-0.0448
377,-0.0112
378,-0.036
379,-0.016
380,-0.0176
381,-0.0024
382,-0.0408
383,0.0328
384,0.0616
385,0.032
386,0.0696
387,0.076
388,0.0208
389,-0.0144
390,-0.0272
391,-0.0224
392,-0.0504
393,-0.004
394,0.0208
395,0.0024
396,-0.0328
397,-0.0496
398,-0.056
399,-0.0168
400,0.0088
401,-0.0152
402,-0.0568
403,-0.0608
404,-0.0088
405,0.044
406,0.0224
407,0.0832
408,0.0808
409,0.064
410,0.0488
411,0.0384
412,0.02
413,0.0392
414,0.0464
415,0.0192
416,0.0984
417,0.108
418,0.0872
419,0.0944
420,0.0632
421,0.076
422,0.0856
423,0.0536
424,0.0432
425,0.0192
426,-0.0064
427,-0.0136
428,-0.0112
429,0.0376
430,0.0136
431,0.0288
432,0.016
433,-0.0736
434,-0.0296
435,-0.008
436,0.0032
437,0.0168
438,0.0184
439,-0.0008
440,-0.0488
441,-0.016
442,-0.0456
443,-0.0152
444,0.0016
445,-0.0064
446,-0.036
447,0.0064
448,0.0576
449,-0.0008
450,-0.0072
451,0.0144
452,-0.0176
453,-0.0072
454,0.0168
455,0.0368
456,-0.008
457,0.0224
458,0.0496
459,0.0328
460,0.0856
461,0.056
462,0.0904
463,0.0408
464,0.0232
465,0.0312
466,0.0432
467,0.0472
468,0.0448
469,-0.0064
470,0.0264
471,0.0248
472,-0.004
473,0.0328
474,0.0552
475,0.0408
476,0.0336
477,0.0408
478,0.0328
479,0.0336
480,0.0592
481,0.0752
482,0.0728
483,0.0688
484,0.0312
485,0.0064
486,-0.004
487,-0.028
488,-0.0176
489,-0.0088
490,-0.0384
491,0.0096
492,0.0456
493,-0.0064
494,-0.0448
495,-0.0144
496,-0.012
497,-0.024
498,-0.024
499,-0.0688
