method,L2,Linf,RMSE,MAE,points,file
FDM,0.00035567667448752386,0.00040006889808763546,0.0002502407219126805,0.00022173130192463945,100,dados/fdm_adr_1d_results/solution.csv
D1Q3,0.014867367986279143,0.01577249659802911,0.010460120566490701,0.009243886776564767,100,dados/d1q3_adr_results/solution_1d.csv
D1Q2,0.6701568473991208,0.6704615234195559,0.47149713578916325,0.4227750500173075,100,dados/d1q2_adr_results/solution_1d.csv
