x,phi_fdm,phi_exact,error_abs
0.0,1.1226726703588853e-13,0.0,1.1226726703588853e-13
0.010101010101010102,0.06344563427625723,0.0634239196565645,2.1714619692719817e-05
0.020202020202020204,0.12663558548668535,0.12659245357374926,4.3131912936089645e-05
0.030303030303030304,0.18931541000037178,0.1892512443604102,6.416563996158864e-05
0.04040404040404041,0.2512327182864534,0.2511479871810792,8.47311053741584e-05
0.05050505050505051,0.3121381911977903,0.3120334456984871,0.00010474549930317156
0.06060606060606061,0.3717865838911757,0.3716624556603275,0.00012412823084817504
0.07070707070707072,0.42993771334176173,0.4297949120891717,0.00014280125259003018
0.08080808080808081,0.48635742547532973,0.4861967361004687,0.00016068937486102275
0.09090909090909091,0.5408185380241035,0.5406408174555976,0.00017772056850595686
0.10101010101010102,0.5931017553095597,0.5929079290546405,0.0001938262549191494
0.11111111111111112,0.6429965512687255,0.6427876096865394,0.00020894158218609515
0.12121212121212122,0.6903020171683306,0.6900790114821119,0.00022300568621869132
0.13131313131313133,0.7348276705933666,0.7345917086575333,0.0002359619358333065
0.14141414141414144,0.776394222452543,0.7761464642917569,0.00024775816078603796
0.15151515151515152,0.8148342989121783,0.8145759520503357,0.00025834686184256217
0.16161616161616163,0.849993115351555,0.8497254299495144,0.000267685402040585
0.17171717171717174,0.8817290996259569,0.8814533634475821,0.0002757361783748413
0.18181818181818182,0.909914462127729,0.9096319953545183,0.0002824667732106434
0.19191919191919193,0.9344357103499246,0.9341478602651067,0.00028785008481790886
0.20202020202020204,0.9551941058805747,0.954902241444074,0.000291864436500755
0.21212121212121213,0.9721060619874239,0.9718115683235417,0.00029449366388223375
0.22222222222222224,0.9851034801921992,0.9848077530122081,0.0002957271799910455
0.23232323232323235,0.9941340244791478,0.9938384644612541,0.00029556001789365904
0.24242424242424243,0.9991613320337003,0.998867339183008,0.00029399285069231507
0.25252525252525254,1.0001651596626915,0.9998741276738751,0.0002910319888164148
0.26262626262626265,0.997141465306554,0.9968547759519424,0.0002866893546116245
0.27272727272727276,0.9901024243152661,0.9898214418809327,0.00028098243433338776
0.2828282828282829,0.9790763804225141,0.9788024462147786,0.00027393420773547117
0.29292929292929293,0.9641077316154806,0.9638421585599422,0.00026557305553842614
0.30303030303030304,0.9452567513598201,0.9450008187146685,0.0002559326451516686
0.31313131313131315,0.9225993458996862,0.9223542941045814,0.00024505179510481145
0.32323232323232326,0.8962267486100766,0.8959937742913359,0.0002329743187406974
0.33333333333333337,0.8662451526322328,0.8660254037844385,0.00021974884779429882
0.3434343434343435,0.83277528327134,0.8325698546347712,0.00020542863656880517
0.3535353535353536,0.7959519118783327,0.795761840530832,0.00019007134750070875
0.36363636363636365,0.7559233131732311,0.7557495743542583,0.00017373881897286836
0.37373737373737376,0.7128506681951763,0.7126941713788627,0.00015649681631357826
0.38383838383838387,0.6669074152832732,0.6667690005162917,0.00013841476698150945
0.393939393939394,0.6182785517016133,0.6181589862206051,0.0001195654810082214
0.4040404040404041,0.5671598887205854,0.5670598638627704,0.00010002485781501758
0.4141414141414142,0.5137572631540007,0.5136773915734063,7.987158059441501e-05
0.42424242424242425,0.4582857085268918,0.4582265217274105,5.918679948130334e-05
0.43434343434343436,0.4009685892114025,0.4009305354066136,3.805380478888454e-05
0.4444444444444445,0.34203670101729605,0.3420201433256685,1.6557691627561155e-05
0.4545454545454546,0.2817273418586875,0.28173255684142967,5.214982742196561e-06
0.4646464646464647,0.22028335623909595,0.22031053278654036,2.7176547444413002e-05
0.4747474747474748,0.15795215740233975,0.15800139597334945,4.923857100969098e-05
0.48484848484848486,0.09498473108672624,0.09505604330418288,7.131221745663996e-05
0.494949494949495,0.031634624894067646,0.031727933498067656,9.330860400001001e-05
