Iteracao,Energia
0,-0.6144
1,-0.7824
2,-0.8528
3,-0.9104
4,-0.968
5,-1.0112
6,-1.0416
7,-1.0624
8,-1.0496
9,-1.0672
10,-1.0704
11,-1.0368
12,-1.088
13,-1.072
14,-1.0576
15,-1.0816
16,-1.0752
17,-1.0912
18,-1.12
19,-1.2032
20,-1.144
21,-1.1536
22,-1.1408
23,-1.1744
24,-1.1632
25,-1.176
26,-1.1312
27,-1.1232
28,-1.1584
29,-1.152
30,-1.1584
31,-1.1424
32,-1.1632
33,-1.1136
34,-1.1072
35,-1.1168
36,-1.12
37,-1.1184
38,-1.1056
39,-1.1264
40,-1.1328
41,-1.0832
42,-1.048
43,-1.064
44,-1.0752
45,-1.0656
46,-1.0784
47,-1.0416
48,-1.0416
49,-1.0784
50,-1.0448
51,-1.08
52,-1.0096
53,-1.0496
54,-1.0016
55,-1.0624
56,-1.056
57,-1.0656
58,-1.0768
59,-1.0928
60,-1.0992
61,-1.1136
62,-1.1232
63,-1.128
64,-1.1216
65,-1.1024
66,-1.1472
67,-1.1472
68,-1.1104
69,-1.0768
70,-1.1072
71,-1.048
72,-1.0656
73,-1.088
74,-1.0992
75,-1.048
76,-1.0784
77,-1.0992
78,-1.064
79,-1.0576
80,-1.0784
81,-1.1584
82,-1.2
83,-1.1792
84,-1.1408
85,-1.1456
86,-1.168
87,-1.1248
88,-1.0896
89,-1.088
90,-1.0896
91,-1.0928
92,-1.1184
93,-1.0832
94,-1.0816
95,-1.1168
96,-1.1344
97,-1.1344
98,-1.1088
99,-1.1184
100,-1.1072
101,-1.1424
102,-1.128
103,-1.136
104,-1.12
105,-1.0928
106,-1.0672
107,-1.1248
108,-1.0912
109,-1.0816
110,-1.1536
111,-1.136
112,-1.12
113,-1.1536
114,-1.1936
115,-1.1936
116,-1.1872
117,-1.1584
118,-1.1712
119,-1.1152
120,-1.128
121,-1.1376
122,-1.1632
123,-1.1968
124,-1.1856
125,-1.16
126,-1.1536
127,-1.1872
128,-1.1984
129,-1.1488
130,-1.1808
131,-1.16
132,-1.1728
133,-1.1792
134,-1.1456
135,-1.1216
136,-1.136
137,-1.1376
138,-1.1424
139,-1.1152
140,-1.1488
141,-1.1328
142,-1.1136
143,-1.12
144,-1.0992
145,-1.1168
146,-1.1104
147,-1.0816
148,-1.088
149,-1.1136
150,-1.104
151,-1.1104
152,-1.0784
153,-1.0912
154,-1.1024
155,-1.1376
156,-1.1584
157,-1.1504
158,-1.1184
159,-1.1664
160,-1.1824
161,-1.1728
162,-1.096
163,-1.1168
164,-1.0944
165,-1.12
166,-1.1648
167,-1.1344
168,-1.1312
169,-1.0784
170,-1.1152
171,-1.112
172,-1.104
173,-1.0736
174,-1.144
175,-1.0656
176,-1.0896
177,-1.128
178,-1.1168
179,-1.1568
180,-1.1792
181,-1.1488
182,-1.1808
183,-1.1872
184,-1.1728
185,-1.1504
186,-1.1008
187,-1.0848
188,-1.072
189,-1.0848
190,-1.0848
191,-1.0992
192,-1.0848
193,-1.0896
194,-1.1232
195,-1.0928
196,-1.1088
197,-1.1264
198,-1.0896
199,-1.0912
200,-1.1408
201,-1.1792
202,-1.192
203,-1.112
204,-1.1104
205,-1.128
206,-1.0704
207,-1.0848
208,-1.0848
209,-1.0976
210,-1.128
211,-1.1792
212,-1.1552
213,-1.1344
214,-1.1168
215,-1.0864
216,-1.112
217,-1.1184
218,-1.0848
219,-1.1632
220,-1.1248
221,-1.1424
222,-1.1392
223,-1.12
224,-1.144
225,-1.1792
226,-1.1392
227,-1.0912
228,-1.0416
229,-1.0544
230,-1.0944
231,-1.1136
232,-1.0928
233,-1.0752
234,-1.0768
235,-1.0816
236,-1.0736
237,-1.056
238,-1.08
239,-1.0896
240,-1.1248
241,-1.1168
