x,phi_LBM,phi_exact,error
0.0,1.7570232176316781e-06,0.0,1.7570232176316781e-06
0.0033444816053511705,0.013399175673006174,0.021012451128475416,0.007613275455469241
0.006688963210702341,0.028271132338971924,0.04201562375005714,0.013744491411085219
0.010033444816053512,0.0431219369826834,0.06300024345497893,0.019878306472295527
0.013377926421404682,0.057945003892594577,0.08395704402592023,0.026012040133325656
0.016722408026755852,0.07273376283260594,0.10487677152970694,0.032143008697101
0.020066889632107024,0.08748166191094665,0.12575018840358776,0.038268526492641106
0.023411371237458192,0.10218217043950854,0.14656807753428186,0.044385907094773316
0.026755852842809364,0.11682878178241038,0.1673212463279966,0.05049246454558623
0.030100334448160536,0.13141501619257587,0.18800053076961823,0.05658551457704236
0.033444816053511704,0.14593442363511536,0.20859679946928295,0.06266237583416759
0.03678929765886287,0.16038058659630725,0.2291009576945416,0.06872037109823437
0.04013377926421405,0.174747122876982,0.24950395138633757,0.07475682850935558
0.043478260869565216,0.18902768836911885,0.2697967711570243,0.08076908278790543
0.046822742474916385,0.20321597981447354,0.2899704562686571,0.08675447645418355
0.05016722408026756,0.2173057375440632,0.3100160985898032,0.09271036104574001
0.05351170568561873,0.2312907481973443,0.32992484652912146,0.09863409833177716
0.056856187290969896,0.24516484741992708,0.34968790894397594,0.10452306152404886
0.06020066889632107,0.2589219225386813,0.36929655902235725,0.11037463648367596
0.06354515050167224,0.2725559152130981,0.38874213813639674,0.11618622292329867
0.06688963210702341,0.28606082406178157,0.408016059665773,0.12195523560399141
0.07023411371237458,0.2994307072629575,0.42710981278932175,0.12767910552636424
0.07357859531772575,0.3126596851278953,0.4460149662431747,0.1333552811152794
0.07692307692307693,0.32574194264615497,0.46472317204376856,0.1389812293976136
0.0802675585284281,0.33867173200157763,0.483226169174079,0.14455443717250138
0.08361204013377926,0.35144337505795953,0.5015157872314542,0.15007241217349465
0.08695652173913043,0.36405126581335134,0.5195839500354336,0.15553268422208222
0.0903010033444816,0.37648987282194835,0.5374226791939625,0.16093280637201413
0.09364548494983277,0.3887537415825477,0.5550240976264252,0.16627035604387752
0.09698996655518395,0.4008374968925607,0.5723804330419424,0.1715429361493817
0.10033444816053512,0.41273584516658657,0.5894840213713949,0.17674817620480832
0.10367892976588629,0.42444357671856864,0.6063273101516624,0.18188373343309377
0.10702341137123746,0.4359555680065689,0.6229028618605774,0.1869472938540085
0.11036789297658862,0.4472667838392122,0.639203357201126,0.19193657336191378
0.11371237458193979,0.45837227954287085,0.6552215983334435,0.19684931879057266
0.11705685618729096,0.46926720308867315,0.6709505120531779,0.20168330896450476
0.12040133779264214,0.4799467971784396,0.6863831529148176,0.20643635573637797
0.12374581939799331,0.49040640128866947,0.7015127062986043,0.21110630500993482
0.12709030100334448,0.5006414536717111,0.7163324914196784,0.21569103774796727
0.13043478260869565,0.510647493313277,0.730835964278124,0.22018847096484706
0.13377926421404682,0.5204201618454783,0.7450167205486168,0.22459655870313844
0.13712374581939799,0.5299552054145695,0.7588684984083919,0.22891329299382235
0.14046822742474915,0.539248476502621,0.7723851813022901,0.23313670479966908
0.14381270903010032,0.548295935702352,0.7855608006436555,0.2372648649413035
0.1471571906354515,0.5570936534443738,0.7983895384498958,0.24129588500552202
0.1505016722408027,0.565637811676118,0.8108657299115397,0.24522791823542167
0.15384615384615385,0.5739247054917462,0.8229838658936565,0.24905916040191023
0.15719063545150502,0.5819507447123518,0.834738595368536,0.25278785065618425
0.1605351170568562,0.5897124554157921,0.8461247277785513,0.2564122723627592
0.16387959866220736,0.5972064814155056,0.8571372353281631,0.2599307539126575
0.16722408026755853,0.6044295856876951,0.867771255204052,0.26334166951635685
0.1705685618729097,0.6113786517462745,0.8780220917224004,0.26664343997612594
0.17391304347826086,0.6180506849650045,0.8878852184023752,0.26983453343737074
0.17725752508361203,0.6244428138462624,0.8973562799648925,0.2729134661186301
0.1806020066889632,0.6305522912359078,0.9064310942557877,0.2758788030198799
0.18394648829431437,0.6363764954837435,0.9151056540925363,0.27872915860879277
0.18729096989966554,0.641912931549077,0.9233761290337134,0.28146319748463633
0.1906354515050167,0.6471592320509232,0.931238867070408,0.28407963501948486
0.1939799331103679,0.6521131582624093,0.9386903962388486,0.2865772379764393
0.19732441471571907,0.6567726010489618,0.9457274261535232,0.2889548251045614
0.20066889632107024,0.6611355817498842,0.9523468494601222,0.291211267710238
0.2040133779264214,0.6652002530029603,0.9585457432076576,0.29334549020469736
0.20735785953177258,0.6689648995117329,0.9643213701391565,0.29535647062742365
0.21070234113712374,0.6724279387551416,0.9696711799003567,0.29724324114521505
0.2140468227424749,0.6755879216392241,0.9745928101658707,0.29900488852664664
0.21739130434782608,0.6784435330906071,0.9790840876823228,0.3006405545917157
0.22073578595317725,0.6809935925915402,0.9831430292279966,0.3021494366364563
0.22408026755852842,0.6832370546562548,0.9867678424885691,0.30353078783231424
0.22742474916387959,0.685173009248447,0.9899569268485472,0.30478391760010015
0.23076923076923075,0.6868006821397147,0.992708874098054,0.3059081919583393
0.23411371237458192,0.6881194352087998,0.9950224690546545,0.3069030338458547
0.23745819397993312,0.6891287666815173,0.9968966900999463,0.30776792341842896
0.2408026755852843,0.6898283113112712,0.9983307096306772,0.30850239831940596
0.24414715719063546,0.6902178405000853,0.9993238944241918,0.3091060539241065
