Iteracao,Magnetizacao
0,0.0352
1,0.0272
2,0.0264
3,-0.0104
4,-0.004
5,0.0168
6,0.0008
7,0.04
8,0.0176
9,-0.0184
10,-0.0176
11,-0.0448
12,0.0056
13,-0.0136
14,0.0288
15,0.0
16,-0.0176
17,0.0256
18,0.0032
19,-0.0272
20,-0.0072
21,0.012
22,-0.0104
23,-0.024
24,0.0072
25,0.0
26,-0.0016
27,0.02
28,-0.0056
29,-0.068
30,-0.0776
31,-0.0832
32,-0.0208
33,-0.052
34,-0.0448
35,0.0144
36,0.0424
37,0.0016
38,0.0184
39,0.024
40,-0.0024
41,-0.0368
42,-0.0328
43,0.0296
44,0.0248
45,0.0648
46,0.0784
47,0.0704
48,0.0144
49,0.0056
50,0.0
51,0.0488
52,0.0392
53,0.0368
54,-0.0184
55,0.0192
56,0.0808
57,0.116
58,0.0744
59,0.0088
60,0.0288
61,0.0224
62,0.0128
63,-0.0064
64,-0.0216
65,-0.0072
66,-0.0184
67,-0.0104
68,-0.0328
69,-0.012
70,-0.0032
71,-0.004
72,0.02
73,0.0488
74,0.0072
75,0.016
76,0.0256
77,0.012
78,0.0448
79,0.084
80,0.1016
81,0.0464
82,0.0336
83,0.0096
84,-0.0096
85,-0.0312
86,0.028
87,0.0592
88,0.1024
89,0.0888
90,0.0704
91,0.0392
92,0.0328
93,0.0424
94,0.056
95,0.0272
96,0.048
97,0.096
98,0.0744
99,0.096
100,0.076
101,0.052
102,0.032
103,0.0536
104,0.044
105,0.0192
106,0.0384
107,0.1024
108,0.036
109,0.0008
110,-0.0064
111,0.004
112,-0.0056
113,-0.0056
114,0.0024
115,-0.0056
116,0.0168
117,0.0136
118,0.0056
119,-0.0328
120,0.02
121,0.0
122,-0.0096
123,-0.0312
124,-0.0568
125,-0.0456
126,-0.0456
127,-0.0328
128,0.0048
129,-0.0232
130,-0.0864
131,-0.0216
132,-0.0968
133,-0.0952
134,-0.0544
135,-0.028
136,-0.0616
137,-0.0712
138,-0.0528
139,-0.0256
140,-0.02
141,-0.0264
142,0.0064
143,0.0112
144,0.0696
145,0.0392
146,0.0088
147,0.0008
148,-0.0248
149,-0.0504
150,-0.0432
151,-0.0176
152,0.0296
153,0.0272
154,0.0664
155,0.0328
156,0.0264
157,0.0216
158,0.0608
159,0.02
160,0.04
161,0.004
162,0.0136
163,-0.012
164,-0.0416
165,-0.0176
166,-0.032
167,-0.0544
168,-0.0272
169,0.0016
170,0.0216
171,0.0224
172,0.0464
173,0.112
174,0.036
175,0.032
176,0.0376
177,0.0328
178,0.0256
179,-0.0224
180,-0.0168
181,-0.0048
182,0.0192
183,-0.016
184,-0.0168
185,-0.0344
186,-0.0536
187,-0.0896
188,-0.0992
189,-0.0792
190,-0.0656
191,-0.036
192,-0.0088
193,-0.0176
194,0.0008
195,0.028
196,0.0192
197,0.0088
198,0.032
199,0.012
200,0.0296
201,0.0336
202,-0.0184
203,0.016
204,0.0456
205,0.024
206,0.0128
207,-0.0016
208,-0.0088
209,-0.0432
210,-0.0376
211,-0.02
212,-0.0272
213,-0.0352
214,0.024
215,0.0208
216,0.0112
217,-0.0168
218,0.0336
219,0.0344
220,0.0128
221,0.0168
222,0.0432
223,0.0208
224,0.016
225,0.0408
226,0.068
227,0.0808
228,0.0808
229,0.136
230,0.092
231,0.0528
232,0.0104
233,0.008
234,0.02
235,0.0784
236,0.0728
237,0.04
238,-0.0144
239,0.0024
240,-0.0232
241,-0.0384
242,-0.0456
243,-0.0408
244,0.0008
245,-0.0328
246,-0.0472
247,0.0096
248,0.0376
249,0.0144
250,0.0152
251,0.0032
252,0.0152
253,0.0024
254,-0.0024
255,0.0336
256,-0.0136
257,0.0024
258,-0.012
259,0.0304
260,0.0272
261,0.032
262,0.012
263,-0.0088
264,-0.008
265,0.0104
266,-0.04
267,-0.012
268,-0.04
269,-0.0128
270,-0.0352
271,-0.0448
272,-0.0544
273,-0.0624
274,-0.056
275,-0.0888
276,-0.0384
277,-0.0352
278,0.0216
279,-0.0048
280,0.008
281,0.004
282,0.0416
283,0.0248
284,-0.0008
285,0.0592
286,0.0576
287,0.0464
288,0.0272
289,0.0032
290,-0.0336
291,-0.0264
292,-0.0216
293,-0.0408
294,0.0072
295,0.0464
296,0.0152
297,-0.0344
298,-0.0168
299,-0.0648
300,-0.0008
301,0.0024
302,0.0064
303,-0.0184
304,0.0104
305,0.0024
306,-0.0528
307,-0.0696
308,-0.0536
309,-0.0224
310,-0.0576
311,-0.1096
312,-0.0976
313,-0.0528
314,-0.1024
315,-0.1008
316,-0.0872
317,-0.0592
318,-0.0184
319,-0.0256
320,-0.0136
321,-0.016
322,-0.0136
323,-0.0208
324,-0.032
325,-0.088
326,-0.0912
327,-0.06
328,-0.0624
329,-0.008
330,0.0064
331,0.0304
332,0.06
333,0.0432
334,0.008
335,-0.0328
336,-0.0456
337,-0.0712
338,-0.1072
339,-0.124
340,-0.0496
341,-0.1064
342,-0.1216
343,-0.0888
344,-0.1088
345,-0.0816
346,-0.0624
347,-0.0672
348,-0.0768
349,-0.1112
350,-0.1024
351,-0.0712
352,-0.0744
353,-0.0392
354,-0.0352
355,-0.02
356,-0.012
357,-0.02
358,-0.0072
359,-0.0112
360,0.0072
361,-0.0304
362,-0.0448
363,-0.0528
364,-0.06
365,-0.04
366,-0.0224
367,-0.0208
368,-0.0184
369,-0.0032
370,-0.0504
371,-0.116
372,-0.1312
373,-0.1416
374,-0.1152
375,-0.0792
376,-0.0824
377,-0.0688
378,-0.0688
379,-0.0392
380,-0.0192
381,0.0296
382,-0.008
383,0.0184
384,0.0
385,0.0096
386,0.0432
387,0.0272
388,0.0512
389,0.0912
390,0.092
391,0.0816
392,0.06
393,0.0608
394,0.032
395,0.0248
396,0.0376
397,0.0264
398,0.0232
399,-0.0336
400,-0.0288
401,-0.0512
402,-0.048
403,0.0024
404,-0.0168
405,0.004
406,0.0272
407,-0.0072
408,-0.0416
409,-0.0456
410,-0.0216
411,-0.0368
412,-0.0032
413,-0.0576
414,-0.0808
415,-0.0632
416,-0.0864
417,-0.0328
418,-0.0632
419,-0.0296
420,-0.0376
421,-0.0152
422,-0.0336
423,-0.0176
424,-0.0216
425,-0.06
426,-0.0544
427,-0.0616
428,-0.0624
429,-0.0392
430,0.0008
431,0.012
432,0.036
433,0.0704
434,0.0904
435,0.092
436,0.0864
437,0.0384
438,0.0456
439,0.0384
440,-0.0224
441,0.0096
442,-0.0016
443,0.0288
444,0.0296
445,0.0488
446,0.0552
447,0.0328
448,0.048
449,0.0376
450,0.0712
451,0.0192
452,0.024
453,-0.0304
454,-0.004
455,-0.0576
456,-0.0664
457,-0.0496
458,-0.0776
459,-0.0584
460,-0.0064
461,0.0208
462,0.032
463,0.0624
464,0.012
465,0.0392
466,0.0664
467,0.0776
468,0.0528
469,0.032
470,0.0352
471,0.0288
472,0.0152
473,0.0376
474,0.0704
475,0.0288
476,0.0512
477,0.0616
478,0.1024
479,0.0576
480,-0.0432
481,-0.0752
482,-0.02
483,0.004
484,-0.0008
485,0.04
486,0.0248
487,0.0424
488,0.0656
489,0.0848
490,0.0968
491,0.0664
492,0.0496
493,0.0792
494,0.0512
495,0.052
496,-0.004
497,0.032
498,0.0408
499,0.0544
