x,y,phi_LBM,phi_exact,error
0.0,0.0,0.0,0.0,0.0
0.0,0.012658227848101266,5.003155574460555e-07,0.0,5.003155574460555e-07
0.0,0.02531645569620253,9.99840013158229e-07,0.0,9.99840013158229e-07
0.0,0.0379746835443038,1.497783516297088e-06,0.0,1.497783516297088e-06
0.0,0.05063291139240506,1.9933587158341747e-06,0.0,1.9933587158341747e-06
0.0,0.06329113924050633,2.4857820055158204e-06,0.0,2.4857820055158204e-06
0.0,0.0759493670886076,2.9742747629056982e-06,0.0,2.9742747629056982e-06
0.0,0.08860759493670886,3.458064580546937e-06,0.0,3.458064580546937e-06
0.0,0.10126582278481013,3.936386487297077e-06,0.0,3.936386487297077e-06
0.0,0.11392405063291139,4.4084841579046806e-06,0.0,4.4084841579046806e-06
0.0,0.12658227848101267,4.873611108915013e-06,0.0,4.873611108915013e-06
0.0,0.13924050632911392,5.331031879013824e-06,0.0,5.331031879013824e-06
0.0,0.1518987341772152,5.780023191942854e-06,0.0,5.780023191942854e-06
0.0,0.16455696202531644,6.219875100148266e-06,0.0,6.219875100148266e-06
0.0,0.17721518987341772,6.649892107353648e-06,0.0,6.649892107353648e-06
0.0,0.18987341772151897,7.069394268282598e-06,0.0,7.069394268282598e-06
0.0,0.20253164556962025,7.477718263791949e-06,0.0,7.477718263791949e-06
0.0,0.21518987341772153,7.874218449715678e-06,0.0,7.874218449715678e-06
0.0,0.22784810126582278,8.258267877761056e-06,0.0,8.258267877761056e-06
0.0,0.24050632911392406,8.629259286842749e-06,0.0,8.629259286842749e-06
0.0,0.25316455696202533,8.986606063287425e-06,0.0,8.986606063287425e-06
0.0,0.26582278481012656,9.329743168390539e-06,0.0,9.329743168390539e-06
0.0,0.27848101265822783,9.658128031858673e-06,0.0,9.658128031858673e-06
0.0,0.2911392405063291,9.971241409724683e-06,0.0,9.971241409724683e-06
0.0,0.3037974683544304,1.0268588205379151e-05,0.0,1.0268588205379151e-05
0.0,0.31645569620253167,1.0549698252419882e-05,0.0,1.0549698252419882e-05
0.0,0.3291139240506329,1.081412705808163e-05,0.0,1.081412705808163e-05
0.0,0.34177215189873417,1.106145650607052e-05,0.0,1.106145650607052e-05
0.0,0.35443037974683544,1.1291295517691851e-05,0.0,1.1291295517691851e-05
0.0,0.3670886075949367,1.1503280670225903e-05,0.0,1.1503280670225903e-05
0.0,0.37974683544303794,1.169707677157394e-05,0.0,1.169707677157394e-05
