Iteracao,Magnetizacao
0,0.0352
1,0.0632
2,0.096
3,0.104
4,0.0864
5,0.0736
6,0.0784
7,0.0912
8,0.1392
9,0.1224
10,0.1384
11,0.1008
12,0.1112
13,0.0928
14,0.0736
15,0.064
16,0.0512
17,0.064
18,0.0648
19,0.0896
20,0.0864
21,-0.0024
22,0.0264
23,-0.0096
24,-0.0144
25,0.0032
26,0.0088
27,0.004
28,-0.008
29,0.0032
30,0.0456
31,0.0296
32,0.0168
33,0.0696
34,0.064
35,0.0912
36,0.1064
37,0.0856
38,0.1344
39,0.136
40,0.1448
41,0.1352
42,0.1376
43,0.128
44,0.132
45,0.1408
46,0.1848
47,0.1952
48,0.1704
49,0.18
50,0.1816
51,0.1392
52,0.1296
53,0.0864
54,0.0904
55,0.0976
56,0.1416
57,0.1488
58,0.1624
59,0.1392
60,0.1296
61,0.0904
62,0.0696
63,0.0976
64,0.1144
65,0.112
66,0.1192
67,0.0736
68,0.0976
69,0.0784
70,0.0624
71,0.044
72,0.0448
73,0.048
74,0.072
75,0.08
76,0.0488
77,0.056
78,0.052
79,0.0904
80,0.1104
81,0.1
82,0.068
83,0.0576
84,0.0232
85,0.0096
86,0.0336
87,0.036
88,0.0648
89,0.0808
90,0.064
91,0.0152
92,0.02
93,-0.0232
94,0.0032
95,-0.0008
96,-0.0072
97,-0.0144
98,-0.0072
99,-0.0424
100,-0.0496
101,-0.0232
102,0.004
103,0.0472
104,0.0376
105,0.0608
106,0.1016
107,0.0872
108,0.0968
109,0.1424
110,0.1296
111,0.168
112,0.1696
113,0.1304
114,0.1416
115,0.144
116,0.1904
117,0.16
118,0.2032
119,0.2152
120,0.2488
121,0.2464
122,0.2296
123,0.2248
124,0.236
125,0.1864
126,0.1968
127,0.204
128,0.1896
129,0.1504
130,0.1544
131,0.1624
132,0.1512
133,0.1584
134,0.1376
135,0.1224
136,0.1232
137,0.1152
138,0.1616
139,0.1752
140,0.1768
141,0.1744
142,0.12
143,0.1248
144,0.1096
145,0.1512
146,0.1336
147,0.0992
148,0.0928
149,0.0544
150,0.0736
151,0.0432
152,0.0616
153,0.072
154,0.0952
155,0.0904
156,0.0712
157,0.0624
158,0.0512
159,0.0192
160,-0.008
161,-0.0184
162,-0.0024
163,0.0352
164,0.0488
165,0.0656
166,0.084
167,0.0864
168,0.0848
169,0.0552
170,0.0696
171,0.0576
172,0.0816
173,0.0864
174,0.0696
175,0.052
176,0.0592
177,0.0304
178,0.0416
179,-0.0336
180,-0.0448
181,-0.0504
182,-0.0704
183,-0.0528
184,-0.0464
185,-0.0136
186,0.0296
187,0.04
188,0.0024
189,0.0064
190,0.02
191,0.012
192,-0.0032
193,-0.0344
194,-0.0144
195,-0.0176
196,0.0008
197,0.0064
198,-0.0088
199,-0.0016
200,0.008
201,0.0608
202,0.0512
203,0.0256
204,0.0232
205,0.0232
206,0.0304
207,0.0496
208,0.0504
209,0.0352
210,0.0088
211,-0.0088
212,-0.0072
213,0.0
214,0.0264
215,0.052
216,0.0512
217,0.0576
218,0.0488
219,0.068
220,0.0192
221,-0.0424
222,-0.0352
223,-0.0216
224,-0.0192
225,0.0136
226,0.0144
227,0.028
228,0.02
229,0.0488
230,0.0376
231,0.0352
232,0.0288
233,0.0336
234,-0.0056
235,-0.0344
236,-0.016
237,0.0552
238,0.0296
239,0.072
240,0.0328
241,0.0536
242,0.0184
243,0.0032
244,0.0232
245,0.0432
246,0.064
247,0.0464
248,0.048
249,0.0472
250,0.0616
251,0.0672
252,0.0896
253,0.0488
254,-0.004
255,0.0104
256,0.02
257,0.0424
258,0.0544
259,0.0408
260,0.0368
261,0.0176
262,-0.0024
263,0.0
264,0.0288
265,0.044
266,0.0384
267,0.0344
268,0.0344
269,-0.008
270,0.0
271,0.0328
272,0.0168
273,0.0352
274,0.024
275,0.0312
276,0.0096
277,-0.004
278,0.008
279,-0.0408
280,-0.0032
281,-0.0016
282,0.0144
283,-0.0128
284,-0.0288
285,-0.0656
286,-0.032
287,-0.0312
288,-0.0168
289,-0.0064
290,-0.0384
291,-0.0296
292,-0.0696
293,-0.0424
294,-0.0456
295,-0.0192
296,-0.0032
297,-0.0144
298,-0.0008
299,-0.0232
300,-0.012
301,0.0064
302,-0.032
303,-0.02
304,-0.0168
305,0.0016
306,-0.016
307,-0.02
308,-0.0512
309,-0.0488
310,-0.0224
311,0.0008
312,0.04
313,0.04
314,0.0728
315,0.0832
316,0.0584
317,0.0264
318,0.044
319,0.0088
320,0.0312
321,0.016
322,0.0648
323,0.084
324,0.1064
325,0.132
326,0.1728
327,0.164
328,0.1992
329,0.1792
330,0.1832
331,0.2096
332,0.2016
333,0.148
334,0.1336
335,0.1592
336,0.1784
337,0.188
338,0.1856
339,0.1808
340,0.1744
341,0.1768
342,0.1736
343,0.1888
344,0.172
345,0.1344
346,0.1192
347,0.1368
348,0.1504
349,0.168
350,0.1624
351,0.1608
352,0.1544
353,0.1768
354,0.1168
355,0.1616
356,0.1352
357,0.132
358,0.1072
359,0.1008
360,0.0768
361,0.0896
362,0.1352
363,0.1288
364,0.0992
365,0.1392
366,0.144
367,0.164
368,0.2
369,0.2088
370,0.188
371,0.18
372,0.1472
373,0.1528
374,0.1688
375,0.1728
376,0.2
377,0.1936
378,0.1464
379,0.1
380,0.1352
381,0.1464
382,0.1304
383,0.14
384,0.172
385,0.1576
386,0.1608
387,0.1816
388,0.1984
389,0.1856
390,0.1816
391,0.2216
392,0.2128
393,0.2064
394,0.2048
395,0.2048
396,0.192
397,0.2264
398,0.2104
399,0.2048
400,0.2112
401,0.1688
402,0.1912
403,0.256
404,0.2512
405,0.212
406,0.1992
407,0.1848
408,0.1488
409,0.1384
410,0.1272
411,0.1312
412,0.1256
413,0.152
414,0.1304
415,0.1032
416,0.1
417,0.088
418,0.0808
419,0.0392
420,0.0552
421,0.036
422,0.048
423,0.1136
424,0.1048
425,0.0896
426,0.0456
427,0.06
428,0.0392
429,0.0144
430,0.0088
431,-0.0336
432,-0.0216
433,-0.0328
434,-0.0104
435,-0.032
436,-0.0368
437,-0.0096
438,0.024
439,0.0768
440,0.0824
441,0.0744
442,0.064
443,0.092
444,0.1288
445,0.1256
446,0.1248
447,0.1456
448,0.1008
449,0.1584
450,0.1496
451,0.1424
452,0.12
453,0.0912
454,0.0712
455,0.0992
456,0.1056
457,0.1256
458,0.0944
459,0.096
460,0.1152
461,0.1232
462,0.136
463,0.0872
464,0.104
465,0.0888
466,0.0872
467,0.1048
468,0.1272
469,0.1248
470,0.1472
471,0.1544
472,0.1656
473,0.1488
474,0.1096
475,0.0856
476,0.0816
477,0.0224
478,0.032
479,0.064
480,0.0712
481,0.0968
482,0.0744
483,0.0824
484,0.076
485,0.0728
486,0.044
487,0.0336
488,0.0496
489,0.0496
490,0.0952
491,0.0864
492,0.1112
493,0.08
494,0.0896
495,0.0984
496,0.0792
497,0.084
498,0.0816
499,0.0856
