Iteracao,Energia
0,-0.5248
1,-0.6928
2,-0.7712
3,-0.7872
4,-0.8224
5,-0.8816
6,-0.864
7,-0.8752
8,-0.8624
9,-0.8832
10,-0.9024
11,-0.9056
12,-0.9072
13,-0.88
14,-0.8976
15,-0.9056
16,-0.912
17,-0.9072
18,-0.896
19,-0.9504
20,-0.8896
21,-0.9072
22,-0.8928
23,-0.9072
24,-0.8416
25,-0.8384
26,-0.872
27,-0.8736
28,-0.8496
29,-0.8448
30,-0.8016
31,-0.8096
32,-0.816
33,-0.8304
34,-0.8528
35,-0.8272
36,-0.8608
37,-0.864
38,-0.8864
39,-0.8352
40,-0.8448
41,-0.8608
42,-0.896
43,-0.8992
44,-0.88
45,-0.8848
46,-0.8512
47,-0.88
48,-0.8432
49,-0.8736
50,-0.8368
51,-0.888
52,-0.968
53,-0.9104
54,-0.9472
55,-0.9296
56,-0.8304
57,-0.9104
58,-0.8928
59,-0.8832
60,-0.9152
61,-0.9712
62,-0.9712
63,-0.9392
64,-0.888
65,-0.9472
66,-0.952
67,-0.9216
68,-0.8912
69,-0.8896
70,-0.8448
71,-0.9232
72,-0.8608
73,-0.8816
74,-0.9056
75,-0.896
76,-0.8448
77,-0.8736
78,-0.896
79,-0.8704
80,-0.9344
81,-0.936
82,-0.9712
83,-0.9696
84,-0.9488
85,-0.8832
86,-0.9264
87,-0.8784
88,-0.896
89,-0.8528
90,-0.8832
91,-0.8672
92,-0.8992
93,-0.8704
94,-0.8928
95,-0.904
96,-0.9088
97,-0.8944
98,-0.912
99,-0.9008
100,-0.904
101,-0.9296
102,-0.8736
103,-0.848
104,-0.8848
105,-0.864
106,-0.8688
107,-0.8704
108,-0.8688
109,-0.9056
110,-0.856
111,-0.8368
112,-0.8128
113,-0.808
114,-0.8944
115,-0.8288
116,-0.8144
117,-0.8608
118,-0.8304
119,-0.8656
120,-0.8224
121,-0.776
122,-0.8096
123,-0.84
124,-0.8192
125,-0.8656
126,-0.8464
127,-0.9104
128,-0.8832
129,-0.928
130,-0.92
131,-0.9616
132,-0.92
133,-0.9184
134,-0.92
135,-0.8912
136,-0.9344
137,-0.8736
138,-0.8928
139,-0.8896
140,-0.8704
141,-0.9264
142,-0.8768
143,-0.9168
144,-0.8864
145,-0.888
146,-0.8496
147,-0.8512
148,-0.888
149,-0.9392
150,-0.9104
151,-0.8816
152,-0.9072
153,-0.872
154,-0.9008
155,-0.888
156,-0.8768
157,-0.8608
158,-0.9744
159,-0.9424
160,-0.984
161,-0.9856
162,-0.9872
163,-0.92
164,-0.9328
165,-0.8848
166,-0.8896
167,-0.8832
168,-0.8896
169,-0.8704
170,-0.9168
171,-0.9168
172,-0.9648
173,-1.0032
174,-0.9472
175,-0.9152
176,-0.9872
177,-0.9648
178,-0.8992
179,-0.856
180,-0.8656
181,-0.8832
182,-0.8368
183,-0.9552
184,-0.936
185,-0.9216
186,-0.9456
187,-0.9328
188,-0.9376
189,-0.9072
190,-0.88
191,-0.9536
192,-0.9936
193,-0.9712
194,-0.9136
195,-0.9264
196,-0.92
197,-0.8208
198,-0.8304
199,-0.9024
200,-0.8352
201,-0.8832
202,-0.8352
203,-0.8224
204,-0.8464
205,-0.8688
206,-0.8576
207,-0.8352
208,-0.84
209,-0.792
210,-0.8608
211,-0.8144
212,-0.8
213,-0.8848
214,-0.864
215,-0.8784
216,-0.8512
217,-0.8352
218,-0.8416
219,-0.8
220,-0.8384
221,-0.8144
222,-0.832
223,-0.9008
224,-0.8832
225,-0.9136
226,-0.9232
227,-0.9376
228,-0.8784
229,-0.9248
230,-0.8832
231,-0.864
232,-0.832
233,-0.8864
234,-0.8144
235,-0.8688
236,-0.9296
237,-0.8928
238,-0.8608
239,-0.824
240,-0.888
241,-0.88
242,-0.8848
243,-0.8864
244,-0.9184
245,-0.9504
246,-0.9168
247,-0.9024
248,-0.9392
249,-0.8656
250,-0.8752
251,-0.8624
252,-0.8384
253,-0.8608
254,-0.8096
255,-0.8544
256,-0.8128
257,-0.8096
258,-0.8176
259,-0.8176
260,-0.8672
261,-0.8912
262,-0.8928
263,-0.8624
264,-0.8688
265,-0.8528
266,-0.832
267,-0.8656
268,-0.9056
269,-0.912
270,-0.864
271,-0.84
272,-0.8448
273,-0.9072
274,-0.9328
275,-0.9392
276,-0.936
277,-0.9344
278,-0.9248
279,-0.8704
280,-0.864
281,-0.8944
282,-0.9168
283,-0.9104
284,-0.8784
285,-0.888
286,-0.8448
287,-0.8512
288,-0.8752
289,-0.8288
290,-0.8576
291,-0.8848
292,-0.928
293,-0.9616
294,-0.9024
295,-0.8864
296,-0.8448
297,-0.8352
298,-0.8512
299,-0.9008
300,-0.8736
301,-0.9328
302,-0.8768
303,-0.8544
304,-0.8416
305,-0.824
306,-0.8064
307,-0.7984
308,-0.8624
309,-0.8528
310,-0.8448
311,-0.896
312,-0.9056
313,-0.9584
314,-0.9328
315,-0.8688
316,-0.8784
317,-0.8064
318,-0.7984
319,-0.8688
320,-0.8176
321,-0.84
322,-0.8448
323,-0.8592
324,-0.8464
325,-0.8832
326,-0.8592
327,-0.8544
328,-0.8176
329,-0.7872
330,-0.8448
331,-0.8864
332,-0.8752
333,-0.8368
334,-0.8896
335,-0.912
336,-0.8704
337,-0.8752
338,-0.8416
339,-0.816
340,-0.8544
341,-0.7344
342,-0.8384
343,-0.8368
344,-0.8304
345,-0.8656
346,-0.8416
347,-0.8832
348,-0.8896
349,-0.9312
350,-0.9216
351,-0.8544
352,-0.8576
353,-0.912
354,-0.8912
355,-0.8224
356,-0.8736
357,-0.8528
358,-0.8112
359,-0.8448
360,-0.8496
361,-0.8304
362,-0.8048
363,-0.8336
364,-0.792
365,-0.8272
366,-0.8144
367,-0.8672
368,-0.7888
369,-0.7856
370,-0.8064
371,-0.8448
372,-0.848
373,-0.856
374,-0.8752
375,-0.8832
376,-0.8928
377,-0.8752
378,-0.9072
379,-0.9248
380,-0.9248
381,-0.9584
382,-0.9136
383,-0.904
384,-0.8864
385,-0.9072
386,-0.8896
387,-0.9072
388,-0.872
389,-0.944
390,-0.9024
391,-0.9168
392,-0.9184
393,-0.8992
394,-0.9296
395,-0.9488
396,-0.9184
397,-0.8768
398,-0.864
399,-0.872
400,-0.9136
401,-0.9008
402,-0.8912
403,-0.8816
404,-0.9344
405,-0.9056
406,-0.952
407,-0.9328
408,-0.9424
409,-0.9616
410,-0.9472
411,-0.9472
412,-0.9376
413,-0.9776
414,-0.976
415,-0.992
416,-0.9904
417,-0.9264
418,-0.8768
419,-0.9072
420,-0.9328
421,-0.8752
422,-0.8336
423,-0.8176
424,-0.8592
425,-0.912
426,-0.848
427,-0.8368
428,-0.8784
429,-0.9008
430,-0.9008
431,-0.9056
432,-0.9216
433,-0.9232
434,-0.88
435,-0.872
436,-0.8848
437,-0.8176
438,-0.8
439,-0.8688
440,-0.8544
441,-0.8448
442,-0.8544
443,-0.832
444,-0.8528
445,-0.8512
446,-0.8496
447,-0.8176
448,-0.7888
449,-0.7776
450,-0.8736
451,-0.8656
452,-0.888
453,-0.9136
454,-0.9344
455,-0.9184
456,-0.8416
457,-0.872
458,-0.8752
459,-0.856
460,-0.92
461,-0.8752
462,-0.8736
463,-0.88
464,-0.848
465,-0.856
466,-0.8416
467,-0.8544
468,-0.8176
469,-0.8672
470,-0.8416
471,-0.888
472,-0.8432
473,-0.8288
474,-0.8592
475,-0.816
476,-0.8752
477,-0.7808
478,-0.8512
479,-0.8336
480,-0.9024
