Iteracao,Magnetizacao
0,0.0456
1,0.0592
2,0.0616
3,0.0248
4,0.0056
5,0.0384
6,0.0072
7,-0.0336
8,-0.0304
9,-0.0104
10,-0.0128
11,0.0
12,0.0296
13,0.0584
14,0.0776
15,0.1144
16,0.0928
17,0.124
18,0.1312
19,0.1192
20,0.1272
21,0.0992
22,0.1128
23,0.1288
24,0.1368
25,0.1416
26,0.128
27,0.1496
28,0.148
29,0.132
30,0.0976
31,0.0704
32,0.0544
33,0.0624
34,0.104
35,0.0936
36,0.1072
37,0.0688
38,0.048
39,0.0424
40,0.032
41,0.0224
42,0.04
43,0.0456
44,0.0576
45,0.0704
46,0.0936
47,0.1288
48,0.1368
49,0.1312
50,0.0976
51,0.068
52,0.0496
53,0.044
54,0.0176
55,0.0608
56,0.0632
57,0.0392
58,0.04
59,0.0096
60,0.0128
61,0.0128
62,-0.0248
63,-0.0096
64,-0.0176
65,-0.0448
66,-0.0648
67,-0.056
68,-0.076
69,-0.1048
70,-0.0408
71,-0.0272
72,-0.0296
73,-0.0448
74,0.0
75,-0.0064
76,-0.004
77,0.024
78,0.0048
79,-0.02
80,-0.0456
81,-0.0616
82,-0.0616
83,0.0064
84,0.0328
85,0.0104
86,0.004
87,-0.052
88,-0.072
89,-0.052
90,-0.0424
91,-0.0528
92,-0.1128
93,-0.0696
94,-0.0496
95,-0.0448
96,-0.0048
97,-0.0056
98,-0.0224
99,-0.024
100,0.0104
101,-0.0104
102,-0.0136
103,0.0144
104,0.0008
105,0.02
106,0.044
107,0.0216
108,0.0184
109,-0.0208
110,-0.0328
111,-0.024
112,-0.0304
113,-0.0168
114,-0.0504
115,-0.0488
116,-0.0592
117,-0.0576
118,-0.0848
119,-0.0872
120,-0.0728
121,-0.0576
122,-0.0368
123,-0.0432
124,0.012
125,0.0072
126,-0.024
127,-0.0424
128,-0.08
129,-0.1048
130,-0.124
131,-0.136
132,-0.1608
133,-0.1704
134,-0.1616
135,-0.172
136,-0.1512
137,-0.1288
138,-0.112
139,-0.096
140,-0.0904
141,-0.0952
142,-0.0776
143,-0.0728
144,-0.0992
145,-0.1112
146,-0.052
147,-0.0064
148,0.0248
149,0.0544
150,0.0704
151,0.0584
152,0.084
153,0.044
154,0.0592
155,0.0368
156,0.004
157,-0.0168
158,0.0112
159,-0.0088
160,0.0144
161,0.0224
162,0.028
163,0.0032
164,-0.0472
165,-0.0392
166,-0.0432
167,-0.0448
168,-0.016
169,-0.072
170,-0.0864
171,-0.0912
172,-0.1072
173,-0.1152
174,-0.096
175,-0.0736
176,-0.0856
177,-0.08
178,-0.0176
179,-0.004
180,0.0192
181,0.012
182,0.044
183,0.0944
184,0.1232
185,0.1264
186,0.104
187,0.0792
188,0.1008
189,0.0864
190,0.0976
191,0.0896
192,0.0648
193,0.0584
194,0.032
195,0.0488
196,0.0584
197,0.0672
198,0.104
199,0.1344
200,0.1344
201,0.104
202,0.0992
203,0.0952
204,0.04
205,0.0632
206,0.044
207,0.0592
208,0.0496
209,0.0472
210,0.0656
211,0.0368
212,0.0096
213,0.0088
214,0.0376
215,-0.0376
216,-0.0192
217,-0.0312
218,-0.0696
219,-0.04
220,-0.0128
221,-0.016
222,0.0152
223,0.036
224,0.0392
225,-0.0032
226,0.0272
227,0.0176
228,-0.0248
229,-0.0176
230,0.016
231,-0.0232
232,-0.0584
233,-0.0048
234,0.0376
235,0.0288
236,-0.0248
237,-0.0288
238,-0.0368
239,-0.0312
240,-0.0816
241,-0.1136
242,-0.116
243,-0.12
244,-0.112
245,-0.1288
246,-0.088
247,-0.1136
248,-0.1272
249,-0.136
250,-0.0928
251,-0.1232
252,-0.14
253,-0.14
254,-0.176
255,-0.1552
256,-0.136
257,-0.088
258,-0.1184
259,-0.1336
260,-0.1152
261,-0.0848
262,-0.1
263,-0.1568
264,-0.0872
265,-0.0576
266,-0.0456
267,-0.0592
268,-0.0648
269,-0.1216
270,-0.1024
271,-0.076
272,-0.0784
273,-0.104
274,-0.1032
275,-0.0936
276,-0.1312
277,-0.1328
278,-0.0808
279,-0.0712
280,-0.0752
281,-0.0992
282,-0.1184
283,-0.0992
284,-0.1064
285,-0.1368
286,-0.1
287,-0.0888
288,-0.0792
289,-0.028
290,-0.0312
291,-0.0048
292,-0.0312
293,-0.0024
294,0.0368
295,0.0432
296,0.0168
297,-0.0008
298,-0.004
299,-0.0352
300,-0.0328
301,-0.06
302,-0.0344
303,-0.056
304,-0.0352
305,0.008
306,-0.0096
307,-0.016
308,0.0208
309,0.0224
310,0.032
311,0.0544
312,0.0648
313,0.0656
314,0.0488
315,0.0376
316,0.0504
317,0.0584
318,0.0608
319,0.0344
320,0.0496
321,0.04
322,0.0304
323,-0.0032
324,0.0112
325,0.0056
326,0.0032
327,-0.0064
328,0.0104
329,0.0088
330,0.04
331,0.0176
332,0.0288
333,-0.0088
334,-0.0464
335,-0.0512
336,-0.0656
337,-0.0808
338,-0.0304
339,0.0024
340,-0.004
341,0.0128
342,-0.0312
343,-0.0256
344,-0.0104
345,-0.012
346,-0.0376
347,-0.064
348,-0.0536
349,-0.0536
350,-0.088
351,-0.0328
352,-0.0328
353,-0.056
354,-0.0544
355,-0.064
356,-0.0072
357,0.0008
358,0.0304
359,0.0472
360,0.0784
361,0.0552
362,0.0392
363,0.1
364,0.1112
365,0.1024
366,0.1192
367,0.128
368,0.1072
369,0.1184
370,0.1136
371,0.096
372,0.0904
373,0.1008
374,0.0968
375,0.0808
376,0.04
377,0.0432
378,0.04
379,0.0448
380,0.0784
381,0.1024
382,0.0896
383,0.0656
384,0.0576
385,0.0416
386,0.0016
387,0.0104
388,0.0552
389,0.0784
390,0.0464
391,-0.0032
392,0.0136
393,0.036
394,0.016
395,-0.0256
396,-0.016
397,-0.0176
398,-0.0304
399,-0.0416
400,-0.0336
401,-0.0704
402,-0.0912
403,-0.0664
404,-0.0704
405,-0.0592
406,-0.1016
407,-0.124
408,-0.1472
409,-0.1592
410,-0.116
411,-0.1152
412,-0.1128
413,-0.0592
414,-0.0648
415,-0.0664
416,-0.0416
417,-0.0688
418,-0.0568
419,-0.0592
420,-0.0536
421,-0.0904
422,-0.1056
423,-0.0968
424,-0.1048
425,-0.048
426,-0.0408
427,-0.0712
428,-0.0552
429,-0.0248
430,-0.0304
431,-0.06
432,-0.0544
433,-0.0768
434,-0.0888
435,-0.0872
436,-0.1368
437,-0.1032
438,-0.0808
439,-0.096
440,-0.1104
441,-0.152
442,-0.092
443,-0.0952
444,-0.0728
445,-0.0168
446,-0.0256
447,0.004
448,0.0576
449,0.0264
450,0.0416
451,0.0264
452,0.016
453,0.004
454,0.0424
455,0.036
456,0.02
457,0.016
458,-0.02
459,0.028
460,-0.028
461,-0.016
462,-0.0528
463,-0.0544
464,-0.0512
465,-0.0768
466,-0.0328
467,-0.0352
468,-0.0392
469,-0.0432
470,-0.0424
471,-0.0424
472,-0.0488
473,-0.0848
474,-0.0616
475,-0.08
476,-0.0728
477,-0.036
478,-0.0248
479,-0.0128
480,-0.0088
481,-0.0016
482,0.0096
483,0.0008
484,-0.0136
485,-0.0048
486,-0.0432
487,-0.0696
488,-0.0624
489,-0.068
490,-0.0272
491,-0.0208
492,-0.0048
493,-0.0032
494,0.0024
495,0.0224
496,0.0144
497,0.008
498,0.0112
499,-0.016
