Iteracao,Energia
0,-0.7408
1,-1.0384
2,-1.2208
3,-1.3168
4,-1.368
5,-1.4064
6,-1.4496
7,-1.5008
8,-1.5008
9,-1.5392
10,-1.5488
11,-1.5632
12,-1.5744
13,-1.5936
14,-1.6112
15,-1.6224
16,-1.6352
17,-1.6416
18,-1.6576
19,-1.6608
20,-1.6832
21,-1.7056
22,-1.7104
23,-1.7056
24,-1.7184
25,-1.7136
26,-1.7232
27,-1.7376
28,-1.7392
29,-1.7296
30,-1.744
31,-1.7456
32,-1.7488
33,-1.7584
34,-1.7664
35,-1.752
36,-1.7536
37,-1.7504
38,-1.7712
39,-1.7776
40,-1.7728
41,-1.7648
42,-1.752
43,-1.7808
44,-1.784
45,-1.7904
46,-1.7856
47,-1.7872
48,-1.7904
49,-1.7984
50,-1.8128
51,-1.8144
52,-1.8032
53,-1.8208
54,-1.8064
55,-1.816
56,-1.8
57,-1.8064
58,-1.8128
59,-1.8096
60,-1.816
61,-1.8256
62,-1.8288
63,-1.8112
64,-1.816
65,-1.816
66,-1.816
67,-1.824
68,-1.8208
69,-1.824
70,-1.8208
71,-1.8224
72,-1.8032
73,-1.8032
74,-1.8048
75,-1.8144
76,-1.8288
77,-1.8192
78,-1.8176
79,-1.832
80,-1.8224
81,-1.824
82,-1.8416
83,-1.832
84,-1.824
85,-1.8208
86,-1.8288
87,-1.8272
88,-1.8256
89,-1.832
90,-1.8192
91,-1.8416
92,-1.8096
93,-1.84
94,-1.8384
95,-1.8368
96,-1.8336
97,-1.84
98,-1.8128
99,-1.8352
100,-1.8384
101,-1.8144
102,-1.816
103,-1.8304
104,-1.8384
105,-1.8288
106,-1.84
107,-1.8272
108,-1.8384
109,-1.8352
110,-1.8368
111,-1.8304
112,-1.8176
113,-1.8112
114,-1.832
115,-1.8496
116,-1.8544
117,-1.8528
118,-1.8528
119,-1.8496
120,-1.8496
121,-1.8464
122,-1.8528
123,-1.8384
124,-1.8496
125,-1.8576
126,-1.8432
127,-1.8432
128,-1.8352
129,-1.8416
130,-1.84
131,-1.8352
132,-1.8448
133,-1.8576
134,-1.848
135,-1.8416
136,-1.84
137,-1.848
138,-1.8512
139,-1.84
140,-1.8416
141,-1.8512
142,-1.8384
143,-1.8512
144,-1.8416
145,-1.848
146,-1.8576
147,-1.856
148,-1.8496
149,-1.8448
150,-1.8576
151,-1.8624
152,-1.8672
153,-1.864
154,-1.8688
155,-1.8592
156,-1.8672
157,-1.8672
158,-1.8592
159,-1.8624
160,-1.8592
161,-1.8512
162,-1.8608
163,-1.8448
164,-1.8464
165,-1.8592
166,-1.8544
167,-1.8608
168,-1.8544
169,-1.856
170,-1.8544
171,-1.8608
172,-1.8672
173,-1.8592
174,-1.8576
175,-1.8592
176,-1.856
177,-1.8576
178,-1.8672
179,-1.8736
180,-1.8608
181,-1.8544
182,-1.8592
183,-1.8656
184,-1.8752
185,-1.8752
186,-1.8656
187,-1.8736
188,-1.872
189,-1.8784
190,-1.8832
191,-1.8656
192,-1.8512
193,-1.872
194,-1.8688
195,-1.8672
196,-1.8688
197,-1.8688
198,-1.8688
199,-1.88
200,-1.8752
201,-1.864
202,-1.856
203,-1.8592
204,-1.8656
205,-1.8576
206,-1.864
207,-1.8672
208,-1.8592
209,-1.8608
210,-1.8512
211,-1.84
212,-1.8336
213,-1.8464
214,-1.8704
215,-1.864
216,-1.8688
217,-1.8656
218,-1.8656
219,-1.8576
220,-1.856
221,-1.8544
222,-1.8688
223,-1.8496
224,-1.8512
225,-1.8608
226,-1.8624
227,-1.8528
228,-1.84
229,-1.8544
230,-1.8512
231,-1.8656
232,-1.864
233,-1.8592
234,-1.8608
235,-1.8528
236,-1.8608
237,-1.864
238,-1.8512
239,-1.8672
240,-1.8784
241,-1.8736
242,-1.8688
243,-1.8672
244,-1.856
245,-1.8656
246,-1.8624
247,-1.8736
248,-1.8688
249,-1.864
250,-1.8816
251,-1.8864
252,-1.8624
253,-1.8656
254,-1.88
255,-1.8656
256,-1.88
257,-1.8672
258,-1.8656
259,-1.8528
260,-1.8528
261,-1.8544
262,-1.8512
263,-1.8416
264,-1.8576
265,-1.872
266,-1.8784
267,-1.88
268,-1.888
269,-1.8912
270,-1.8976
271,-1.888
272,-1.8704
273,-1.8768
274,-1.8768
275,-1.8608
276,-1.8672
277,-1.8688
278,-1.8608
279,-1.872
280,-1.8736
281,-1.888
282,-1.8848
283,-1.8832
284,-1.8768
285,-1.8736
286,-1.88
287,-1.8704
288,-1.8688
289,-1.8832
290,-1.8704
291,-1.8848
292,-1.8704
293,-1.8784
294,-1.8736
295,-1.8784
296,-1.8896
297,-1.8832
298,-1.8848
299,-1.8864
300,-1.8768
301,-1.8784
302,-1.8736
303,-1.8752
304,-1.864
305,-1.8672
306,-1.8896
307,-1.8784
308,-1.8928
309,-1.8832
310,-1.88
311,-1.8784
312,-1.8688
313,-1.8816
314,-1.8896
315,-1.8736
316,-1.8752
317,-1.8816
318,-1.904
319,-1.8928
320,-1.8832
321,-1.9008
322,-1.9008
323,-1.8928
324,-1.8912
325,-1.9024
326,-1.8928
327,-1.8976
328,-1.8864
329,-1.8832
330,-1.8848
331,-1.904
332,-1.9104
333,-1.8976
334,-1.896
335,-1.8784
336,-1.8864
337,-1.8768
338,-1.8896
339,-1.896
340,-1.888
341,-1.8976
342,-1.8944
343,-1.904
344,-1.8928
345,-1.8784
346,-1.8912
347,-1.8944
348,-1.8912
349,-1.8992
350,-1.8912
351,-1.8976
352,-1.912
353,-1.8896
354,-1.8896
355,-1.8816
356,-1.8928
357,-1.896
358,-1.888
359,-1.8944
360,-1.88
361,-1.8848
362,-1.8976
363,-1.8784
364,-1.8896
365,-1.8848
366,-1.8928
367,-1.9088
368,-1.92
369,-1.904
370,-1.9056
371,-1.904
372,-1.9184
373,-1.904
