Iteracao,Magnetizacao
0,0.0256
1,0.04
2,0.0144
3,0.0208
4,-0.0184
5,0.0032
6,-0.0112
7,-0.0016
8,-0.016
9,-0.0024
10,0.0184
11,0.0088
12,0.0112
13,0.0008
14,0.0176
15,0.008
16,-0.0336
17,-0.0064
18,0.0208
19,0.0328
20,0.044
21,0.0208
22,0.0176
23,-0.0112
24,-0.0456
25,-0.036
26,-0.0296
27,-0.0232
28,-0.0224
29,0.0072
30,-0.0064
31,0.0088
32,0.0576
33,0.0824
34,0.0488
35,0.0648
36,0.0712
37,0.0984
38,0.0808
39,0.0408
40,0.0424
41,0.0064
42,-0.004
43,0.016
44,-0.004
45,-0.0352
46,-0.104
47,-0.0592
48,-0.0792
49,-0.0856
50,-0.0848
51,-0.0664
52,-0.0432
53,0.0112
54,0.024
55,0.0464
56,0.0224
57,0.0192
58,0.0408
59,-0.0352
60,-0.0304
61,-0.0496
62,-0.0776
63,-0.064
64,-0.0528
65,-0.0552
66,0.0112
67,0.0464
68,0.016
69,-0.0008
70,0.0016
71,0.0384
72,0.0272
73,0.0528
74,0.0936
75,0.092
76,0.0592
77,0.0312
78,-0.0016
79,-0.0024
80,-0.0096
81,0.0056
82,-0.0368
83,-0.044
84,-0.0352
85,-0.0152
86,0.0024
87,-0.0088
88,-0.0016
89,-0.0064
90,-0.0032
91,-0.0336
92,-0.0848
93,-0.0576
94,-0.036
95,-0.0472
96,-0.0272
97,-0.0064
98,0.0184
99,-0.0272
100,0.0144
101,0.0096
102,0.008
103,-0.0504
104,0.0272
105,0.0272
106,0.0048
107,-0.0064
108,0.0336
109,0.0008
110,-0.044
111,0.0352
112,0.016
113,-0.0888
114,-0.028
115,-0.008
116,-0.0184
117,-0.0728
118,-0.0968
119,-0.0912
120,-0.1344
121,-0.1288
122,-0.108
123,-0.0872
124,-0.1176
125,-0.0912
126,-0.0792
127,-0.1032
128,-0.0416
129,-0.0296
130,-0.0152
131,-0.0152
132,-0.0048
133,-0.0216
134,0.0056
135,0.028
136,0.0336
137,0.0176
138,0.0232
139,-0.0064
140,-0.0208
141,-0.0568
142,-0.0696
143,-0.0536
144,-0.028
145,-0.036
146,-0.0264
147,-0.004
148,-0.0136
149,-0.0096
150,-0.0352
151,-0.0616
152,-0.0832
153,-0.0704
154,-0.0616
155,-0.0536
156,-0.0352
157,-0.012
158,-0.0128
159,-0.0144
160,-0.0344
161,-0.0024
162,0.0152
163,0.0424
164,0.0496
165,0.0568
166,0.0496
167,0.0976
168,0.0552
169,0.012
170,0.0352
171,0.0168
172,-0.0488
173,-0.0328
174,-0.0248
175,-0.0376
176,-0.0408
177,-0.0136
178,-0.0616
179,-0.0464
180,-0.0528
181,-0.0368
182,0.0328
183,0.0448
184,0.064
185,0.0384
186,0.004
187,-0.0168
188,-0.0008
189,0.0032
190,-0.0448
191,0.0088
192,-0.0144
193,-0.08
194,-0.0664
195,-0.048
196,-0.02
197,-0.0088
198,-0.0184
199,0.0088
200,0.0248
201,0.0176
202,0.0232
203,0.0576
204,0.0352
205,-0.0056
206,0.0024
207,0.0336
208,0.052
209,0.0712
210,0.0656
211,0.0512
212,0.0488
213,0.0384
214,0.0432
215,0.028
216,0.0456
217,0.0448
218,0.0472
219,0.044
220,0.0712
221,0.0296
222,-0.0168
223,-0.0328
224,-0.0336
225,-0.032
226,-0.028
227,-0.0608
228,-0.0304
229,-0.0472
230,-0.0704
231,-0.0408
232,0.0176
233,0.1
234,0.1248
235,0.1552
236,0.1608
237,0.1784
238,0.1144
239,0.1616
240,0.1536
241,0.0944
242,0.0504
243,0.0416
244,0.0168
245,0.0112
246,0.052
247,0.0064
248,0.0224
249,0.0336
250,0.0192
251,0.0064
252,0.0368
253,0.0488
254,0.012
255,-0.0408
256,-0.0272
257,-0.0328
258,-0.0592
259,-0.052
260,0.0048
261,-0.0624
262,-0.0304
263,-0.0376
264,-0.0744
265,-0.0344
266,-0.06
267,-0.056
268,-0.0624
269,-0.0144
270,-0.0088
271,0.0216
272,0.0328
273,0.0136
274,-0.0048
275,-0.008
276,0.0064
277,0.0112
278,0.0016
279,0.0384
280,0.0184
281,0.0248
282,-0.0072
283,-0.036
284,-0.064
285,-0.0768
286,-0.1088
287,-0.1416
288,-0.0952
289,-0.0696
290,-0.052
291,-0.0344
292,0.0144
293,0.0128
294,0.0112
295,0.0024
296,0.02
297,0.0216
298,0.0088
299,0.0224
300,0.0008
301,0.0096
302,0.0232
303,0.024
304,0.0112
305,0.0288
306,-0.0088
307,-0.0152
308,-0.0096
309,0.024
310,0.0552
311,0.0344
312,0.0
313,0.0136
314,0.0232
315,0.0632
316,0.0496
317,-0.0176
318,-0.0296
319,-0.0624
320,-0.0536
321,-0.008
322,-0.0408
323,-0.0208
324,-0.032
325,-0.0272
326,-0.0136
327,0.0456
328,-0.0032
329,-0.0552
330,-0.1008
331,-0.0784
332,-0.1088
333,-0.0872
334,-0.0616
335,-0.0776
336,-0.0344
337,-0.0512
338,-0.0056
339,-0.0528
340,-0.0784
341,-0.0648
342,-0.0376
343,-0.056
344,-0.0696
345,-0.0272
346,-0.0376
347,-0.0488
348,-0.0232
349,-0.0216
350,0.0056
351,0.016
352,-0.0064
353,0.0104
354,-0.0464
355,-0.0336
356,-0.0104
357,-0.0104
358,-0.0648
359,-0.06
360,0.0192
361,0.0032
362,-0.0088
363,-0.0064
364,-0.028
365,-0.0128
366,-0.076
367,-0.0192
368,0.0112
369,0.0392
370,0.0096
371,0.0144
372,0.036
373,0.0536
374,0.076
375,0.0432
376,0.0416
377,0.0384
378,0.0512
379,0.0256
380,-0.0088
381,-0.0384
382,-0.0688
383,-0.0728
384,-0.0176
385,-0.0456
386,-0.0672
387,-0.0712
388,-0.0312
389,-0.0848
390,-0.0248
391,-0.044
392,-0.016
393,0.008
394,0.0168
395,-0.012
396,-0.068
397,-0.0848
398,-0.0856
399,-0.0072
400,0.0384
401,0.0128
402,0.02
403,0.0528
404,-0.0048
405,0.0112
406,0.0176
407,0.0432
408,0.048
409,0.0304
410,0.1144
411,0.1072
412,0.0872
413,0.1248
414,0.128
415,0.1288
416,0.1256
417,0.1032
418,0.072
419,0.084
420,0.088
421,0.0496
422,0.0624
423,0.0608
424,0.0824
425,0.064
426,0.0888
427,0.0768
428,0.1048
429,0.1008
430,0.0744
431,0.064
432,0.0448
433,-0.0336
434,-0.0088
435,-0.0728
436,-0.088
437,-0.1048
438,-0.1216
439,-0.1384
440,-0.1128
441,-0.052
442,-0.0432
443,-0.0856
444,-0.0528
445,-0.0656
