Iteracao,Energia
0,-0.5408
1,-0.6672
2,-0.7536
3,-0.768
4,-0.8144
5,-0.7264
6,-0.7344
7,-0.8112
8,-0.8192
9,-0.8192
10,-0.7856
11,-0.8176
12,-0.7536
13,-0.7392
14,-0.7072
15,-0.7904
16,-0.7184
17,-0.768
18,-0.8384
19,-0.8464
20,-0.848
21,-0.8096
22,-0.808
23,-0.8496
24,-0.8704
25,-0.8
26,-0.7888
27,-0.792
28,-0.8048
29,-0.7664
30,-0.664
31,-0.768
32,-0.7744
33,-0.8032
34,-0.8208
35,-0.7984
36,-0.832
37,-0.7744
38,-0.7648
39,-0.736
40,-0.7776
41,-0.8304
42,-0.8384
43,-0.7808
44,-0.8336
45,-0.8112
46,-0.776
47,-0.8288
48,-0.7328
49,-0.7904
50,-0.7072
51,-0.8096
52,-0.7952
53,-0.7632
54,-0.7616
55,-0.7184
56,-0.752
57,-0.7808
58,-0.8032
59,-0.8224
60,-0.8368
61,-0.8464
62,-0.7712
63,-0.8096
64,-0.8224
65,-0.792
66,-0.7744
67,-0.7952
68,-0.7376
69,-0.6864
70,-0.752
71,-0.752
72,-0.7344
73,-0.7456
74,-0.768
75,-0.7312
76,-0.7808
77,-0.7568
78,-0.7824
79,-0.8304
80,-0.7968
81,-0.832
82,-0.8128
83,-0.8256
84,-0.7616
85,-0.7792
86,-0.7872
87,-0.7792
88,-0.7648
89,-0.8048
90,-0.84
91,-0.8304
92,-0.7248
93,-0.704
94,-0.7888
95,-0.7984
96,-0.7664
97,-0.816
98,-0.8336
99,-0.8448
100,-0.8256
101,-0.8608
102,-0.8464
103,-0.8656
104,-0.848
105,-0.8064
106,-0.832
107,-0.8432
108,-0.8688
109,-0.8544
110,-0.792
111,-0.8
112,-0.7776
113,-0.7696
114,-0.8272
115,-0.792
116,-0.8016
117,-0.7712
118,-0.8064
119,-0.7968
120,-0.7968
121,-0.7552
122,-0.6944
123,-0.736
124,-0.7824
125,-0.8032
126,-0.7344
127,-0.7488
128,-0.8016
129,-0.8208
130,-0.792
131,-0.8288
132,-0.7984
133,-0.8064
134,-0.7792
135,-0.8
136,-0.776
137,-0.728
138,-0.816
139,-0.8048
140,-0.8336
141,-0.7936
142,-0.8
143,-0.8144
144,-0.7968
145,-0.7792
146,-0.7344
147,-0.6992
148,-0.7616
149,-0.7856
150,-0.7664
151,-0.8064
152,-0.7632
153,-0.7712
154,-0.8016
155,-0.7632
156,-0.7888
157,-0.7456
158,-0.7536
159,-0.7664
160,-0.8144
161,-0.7696
162,-0.808
163,-0.7648
164,-0.7968
165,-0.76
166,-0.7168
167,-0.8064
168,-0.7744
169,-0.72
170,-0.7024
171,-0.6864
172,-0.7168
173,-0.7392
174,-0.7632
175,-0.744
176,-0.8048
177,-0.8176
178,-0.8256
179,-0.7296
180,-0.7904
181,-0.8176
182,-0.8016
183,-0.7856
184,-0.7664
185,-0.7456
186,-0.8224
187,-0.7792
188,-0.7888
189,-0.768
190,-0.768
191,-0.7968
192,-0.7808
193,-0.7824
194,-0.7584
195,-0.7632
196,-0.7584
197,-0.7632
198,-0.7264
199,-0.784
200,-0.7488
201,-0.7488
202,-0.7536
203,-0.8064
204,-0.768
205,-0.7584
206,-0.7856
207,-0.7904
208,-0.784
209,-0.7616
210,-0.7488
211,-0.744
212,-0.8128
213,-0.7888
214,-0.8096
215,-0.808
216,-0.8128
217,-0.8592
218,-0.808
219,-0.8
220,-0.8304
221,-0.8016
222,-0.7856
223,-0.768
224,-0.8448
225,-0.7872
226,-0.8336
227,-0.8112
228,-0.8
229,-0.7792
230,-0.8464
231,-0.8416
232,-0.7888
233,-0.824
234,-0.8272
235,-0.784
236,-0.7536
237,-0.7648
238,-0.8144
239,-0.784
240,-0.7952
241,-0.7904
242,-0.8112
243,-0.8368
244,-0.8336
245,-0.7984
246,-0.8144
247,-0.7792
248,-0.7952
249,-0.7392
250,-0.7328
251,-0.7648
252,-0.8112
253,-0.7712
254,-0.7952
255,-0.7568
256,-0.776
257,-0.8
258,-0.768
259,-0.8048
260,-0.7536
261,-0.7184
262,-0.7856
263,-0.7984
264,-0.776
265,-0.7872
266,-0.808
267,-0.8
268,-0.7104
269,-0.7648
270,-0.7664
271,-0.7376
272,-0.7584
273,-0.7376
274,-0.792
275,-0.8432
276,-0.8272
277,-0.8352
278,-0.864
279,-0.8192
280,-0.8576
281,-0.7776
282,-0.8224
283,-0.8272
284,-0.784
285,-0.8224
286,-0.8096
287,-0.904
288,-0.856
289,-0.8032
290,-0.7584
291,-0.7808
292,-0.8096
293,-0.792
294,-0.848
295,-0.76
296,-0.7952
297,-0.7728
298,-0.8064
299,-0.7792
300,-0.808
301,-0.7296
302,-0.7504
303,-0.7984
304,-0.7264
305,-0.7904
306,-0.7808
307,-0.784
308,-0.76
309,-0.768
310,-0.7824
311,-0.8304
312,-0.7856
313,-0.8256
314,-0.8048
315,-0.856
316,-0.8112
317,-0.8192
318,-0.8528
319,-0.8
320,-0.8032
321,-0.856
322,-0.824
323,-0.8528
324,-0.8464
325,-0.8784
326,-0.8016
327,-0.76
328,-0.768
329,-0.8224
330,-0.7888
331,-0.816
332,-0.7968
333,-0.7536
334,-0.8048
335,-0.7744
336,-0.7712
337,-0.72
338,-0.8576
339,-0.8192
340,-0.808
341,-0.8256
342,-0.8416
343,-0.8352
344,-0.8448
345,-0.8896
346,-0.8624
347,-0.7904
348,-0.816
349,-0.8256
350,-0.784
351,-0.7632
352,-0.8096
353,-0.7904
354,-0.7776
355,-0.8048
356,-0.7776
357,-0.76
358,-0.824
359,-0.8544
360,-0.8256
361,-0.8064
362,-0.8192
363,-0.8032
364,-0.8432
365,-0.7904
366,-0.8224
367,-0.8368
368,-0.7984
369,-0.7216
370,-0.8144
371,-0.8192
372,-0.8416
373,-0.8384
374,-0.8112
375,-0.8176
376,-0.8112
377,-0.7744
378,-0.816
379,-0.7552
380,-0.8032
381,-0.816
382,-0.808
383,-0.7808
384,-0.7472
385,-0.7472
386,-0.7696
387,-0.7248
388,-0.7296
389,-0.7888
390,-0.7936
391,-0.768
392,-0.8128
393,-0.8032
394,-0.8192
395,-0.8128
396,-0.792
397,-0.744
398,-0.7776
399,-0.7648
400,-0.7536
401,-0.728
402,-0.7952
403,-0.7328
404,-0.7808
405,-0.7952
406,-0.792
407,-0.7536
408,-0.7328
409,-0.7936
410,-0.7696
411,-0.8336
412,-0.84
413,-0.8336
414,-0.8416
415,-0.8112
416,-0.7952
417,-0.7648
418,-0.7856
419,-0.7088
420,-0.752
421,-0.824
422,-0.7776
423,-0.7776
424,-0.8
425,-0.8032
426,-0.8192
427,-0.8112
428,-0.7888
429,-0.7888
430,-0.8448
431,-0.8032
432,-0.824
433,-0.8384
434,-0.8208
435,-0.8544
436,-0.8256
437,-0.832
438,-0.8656
439,-0.8016
440,-0.7856
441,-0.8192
442,-0.7776
443,-0.7824
444,-0.7248
445,-0.784
446,-0.8016
447,-0.7952
448,-0.7904
449,-0.8016
450,-0.8384
451,-0.824
452,-0.8032
453,-0.8448
454,-0.776
455,-0.7808
456,-0.8224
457,-0.8064
458,-0.7472
459,-0.7824
460,-0.768
461,-0.7216
462,-0.768
463,-0.7696
464,-0.76
465,-0.7088
466,-0.7536
467,-0.7584
468,-0.8368
469,-0.7952
470,-0.8016
471,-0.7696
472,-0.7888
473,-0.7824
474,-0.768
475,-0.7376
476,-0.768
477,-0.76
478,-0.7632
479,-0.8096
480,-0.7472
481,-0.7712
482,-0.8064
483,-0.8144
484,-0.8304
485,-0.8
486,-0.7776
487,-0.768
488,-0.7824
489,-0.7616
490,-0.7328
491,-0.7408
492,-0.7104
493,-0.712
494,-0.768
495,-0.7792
496,-0.7952
497,-0.7792
498,-0.792
499,-0.768
