Iteracao,Magnetizacao
0,0.02
1,-0.0088
2,-0.0744
3,-0.0896
4,-0.0872
5,-0.0592
6,-0.06
7,-0.0608
8,-0.0104
9,0.0272
10,0.0368
11,0.0456
12,0.0224
13,0.0432
14,0.0424
15,0.0024
16,-0.0504
17,-0.0552
18,-0.0256
19,0.012
20,0.0288
21,0.0336
22,0.0512
23,0.0296
24,0.0576
25,0.0488
26,0.048
27,0.0272
28,0.0064
29,0.008
30,-0.0192
31,-0.0736
32,-0.0664
33,-0.1048
34,-0.1304
35,-0.1504
36,-0.1248
37,-0.084
38,-0.0656
39,-0.0488
40,-0.0424
41,-0.02
42,0.02
43,-0.032
44,-0.0072
45,-0.0016
46,-0.0616
47,-0.0648
48,-0.0208
49,-0.0336
50,-0.0032
51,-0.0248
52,0.004
53,0.0352
54,0.0408
55,0.0264
56,0.04
57,-0.0304
58,-0.0272
59,0.0128
60,0.0048
61,0.0008
62,0.02
63,0.0288
64,0.044
65,0.0304
66,-0.0328
67,-0.0584
68,-0.1072
69,-0.0936
70,-0.1224
71,-0.136
72,-0.12
73,-0.0872
74,-0.0632
75,-0.0672
76,-0.0528
77,-0.0888
78,-0.112
79,-0.1344
80,-0.1784
81,-0.1864
82,-0.1216
83,-0.1008
84,-0.0784
85,-0.1112
86,-0.084
87,-0.1272
88,-0.0768
89,-0.0536
90,-0.0328
91,-0.0448
92,-0.0304
93,-0.0432
94,-0.0096
95,0.0064
96,0.0488
97,0.0832
98,0.08
99,0.0784
100,0.04
101,0.0824
102,0.0608
103,0.0984
104,0.1048
105,0.1
106,0.0888
107,0.0696
108,0.1096
109,0.0952
110,0.0848
111,0.0536
112,0.068
113,0.048
114,0.0648
115,0.0936
116,0.0952
117,0.0832
118,0.0736
119,0.0512
120,0.0384
121,0.0856
122,0.048
123,0.072
124,0.0456
125,0.0152
126,-0.0312
127,-0.0216
128,-0.0864
129,-0.0864
130,-0.0888
131,-0.0608
132,-0.0552
133,-0.06
134,-0.0384
135,0.0024
136,-0.0112
137,0.0136
138,-0.0248
139,-0.0536
140,-0.0384
141,-0.0768
142,-0.0872
143,-0.1
144,-0.0688
145,-0.0712
146,-0.0544
147,-0.0336
148,-0.0208
149,-0.0352
150,-0.0584
151,-0.0816
152,-0.084
153,-0.1112
154,-0.1112
155,-0.1192
156,-0.1072
157,-0.0848
158,-0.092
159,-0.0592
160,-0.0096
161,-0.0176
162,-0.0368
163,-0.0656
164,-0.092
165,-0.0576
166,-0.0088
167,-0.0128
168,0.0128
169,0.0176
170,-0.0072
171,0.0056
172,0.0056
173,0.0088
174,0.0096
175,-0.0056
176,0.0424
177,0.0344
178,0.0408
179,0.0456
180,0.0496
181,0.0488
182,0.0184
183,0.0448
184,0.0552
185,0.1256
186,0.1496
187,0.1512
188,0.1464
189,0.1736
190,0.184
191,0.2128
192,0.176
193,0.1584
194,0.1248
195,0.104
196,0.096
197,0.1088
198,0.1072
199,0.0896
200,0.0336
201,0.0352
202,0.0256
203,0.0128
204,0.044
205,0.0712
206,0.0624
207,0.056
208,0.0064
209,0.008
210,0.0224
211,0.0496
212,0.0208
213,0.032
214,0.0328
215,0.0224
216,0.024
217,0.02
218,0.0144
219,0.0112
220,0.0112
221,0.0224
222,0.0232
223,0.0096
224,0.02
225,-0.0256
226,-0.0224
227,-0.0128
228,-0.0256
229,-0.072
230,-0.0752
231,-0.0608
232,-0.0784
233,-0.0856
234,-0.0936
235,-0.0688
236,-0.0464
237,-0.0352
238,-0.0784
239,-0.0424
240,-0.1032
241,-0.0984
242,-0.0904
243,-0.0792
244,-0.0592
245,-0.084
246,-0.08
247,-0.1136
248,-0.1024
249,-0.0928
250,-0.0664
251,-0.0632
252,-0.0632
253,0.0088
254,0.024
255,0.0552
256,0.0712
257,0.0872
258,0.0632
259,0.0568
260,0.0568
261,-0.012
262,-0.0072
263,-0.0192
264,-0.032
265,-0.0632
266,-0.0744
267,-0.0856
268,-0.032
269,-0.0992
270,-0.0616
271,-0.0944
272,-0.084
273,-0.0688
274,-0.0816
275,-0.0192
276,0.0288
277,-0.0048
278,0.0136
279,0.028
280,0.0168
281,-0.0056
282,-0.0128
283,-0.0424
284,-0.0792
285,-0.056
286,0.0
287,-0.0192
288,-0.0144
289,0.0104
290,-0.0128
291,-0.0008
292,0.004
293,0.0368
294,-0.0176
295,-0.0408
296,-0.0568
297,-0.0912
298,-0.0496
299,-0.0528
300,-0.0528
301,-0.0016
302,-0.0136
303,-0.02
304,-0.0336
305,-0.0464
306,-0.028
307,-0.0096
308,-0.0312
309,-0.032
310,-0.0744
311,-0.0552
312,-0.0296
313,-0.0216
314,-0.0352
315,0.0032
316,-0.024
317,0.0448
318,0.0576
319,0.0064
320,0.0144
321,-0.0432
322,-0.0288
323,-0.0392
324,-0.0184
325,-0.0312
326,-0.0488
327,-0.0504
328,-0.016
329,-0.048
