x,y,phi_exact,dphi_dx,dphi_dy,laplacian
0.0,0.0,0.0,0.0,0.0,-0.0
0.0,0.010101010101010102,0.0,0.3985042401098647,0.0,-0.0
0.0,0.020202020202020204,0.0,0.7954038442943953,0.0,-0.0
0.0,0.030303030303030304,0.0,1.189100637930783,0.0,-0.0
0.0,0.04040404040404041,0.0,1.578009342983884,0.0,-0.0
0.0,0.05050505050505051,0.0,1.9605639613613535,0.0,-0.0
0.0,0.06060606060606061,0.0,2.335224080635254,0.0,-0.0
0.0,0.07070707070707072,0.0,2.7004810767392255,0.0,-0.0
0.0,0.08080808080808081,0.0,3.0548641886651358,0.0,-0.0
0.0,0.09090909090909091,0.0,3.396946440698571,0.0,-0.0
0.0,0.10101010101010102,0.0,3.725350388346394,0.0,-0.0
0.0,0.11111111111111112,0.0,4.038753664819551,0.0,-0.0
0.0,0.12121212121212122,0.0,4.335894305737419,0.0,-0.0
0.0,0.13131313131313133,0.0,4.61557583061296,0.0,-0.0
0.0,0.14141414141414144,0.0,4.876672060657352,0.0,-0.0
0.0,0.15151515151515152,0.0,5.118131653504492,0.0,-0.0
0.0,0.16161616161616163,0.0,5.338982336595645,0.0,-0.0
0.0,0.17171717171717174,0.0,5.538334822177876,0.0,-0.0
0.0,0.18181818181818182,0.0,5.715386388151959,0.0,-0.0
0.0,0.19191919191919193,0.0,5.869424110350967,0.0,-0.0
0.0,0.20202020202020204,0.0,5.99982773323426,0.0,-0.0
0.0,0.21212121212121213,0.0,6.1060721674376275,0.0,-0.0
0.0,0.22222222222222224,0.0,6.187729604122849,0.0,-0.0
0.0,0.23232323232323235,0.0,6.244471237612873,0.0,-0.0
0.0,0.24242424242424243,0.0,6.276068589376244,0.0,-0.0
0.0,0.25252525252525254,0.0,6.282394428029497,-0.0,-0.0
0.0,0.26262626262626265,0.0,6.263423281653043,-0.0,-0.0
0.0,0.27272727272727276,0.0,6.219231540357589,-0.0,-0.0
