x,phi_fdm,phi_exact,error_abs
0.0,4.2402900623021337e-14,0.0,4.2402900623021337e-14
0.012658227848101266,0.07949283738365154,0.07945016697171436,4.267041193717347e-05
0.02531645569620253,0.1584825777965176,0.15839802440721495,8.45533893026329e-05
0.0379746835443038,0.23646982266737562,0.23634443853290488,0.00012538413447074626
0.05063291139240506,0.3129615115245515,0.3127966070222271,0.00016490450232437004
0.06329113924050633,0.38747403928301444,0.38727117465064104,0.0002028646323734007
0.0759493670886076,0.45953631375143156,0.4592972892229779,0.0002390245284536463
0.08860759493670886,0.5286927340286793,0.5284195784526194,0.0002731555760598914
0.10126582278481013,0.5945060709594301,0.5942010289717105,0.0003050419877196342
0.11392405063291139,0.6565602314376475,0.6562257492703756,0.00033448216727194335
0.12658227848101267,0.7144628890811726,0.7141015990967498,0.0003612899844228634
0.13924050632911392,0.767847964645429,0.7674626686939079,0.00038529595152114737
0.1518987341772152,0.8163779404942743,0.8159715921991609,0.0004063482951133235
0.16455696202531644,0.8597459944951662,0.859321680579661,0.00042431391550523667
0.17721518987341772,0.8976779398474726,0.8972388606192122,0.00043907922826036394
0.18987341772151897,0.9299339585797044,0.929483407697387,0.00045055088231737983
0.20253164556962025,0.9563101177559464,0.9558514614057607,0.0004586563501857155
0.21518987341772153,0.9766396588055386,0.9761763144190508,0.0004633443864877629
0.22784810126582278,0.9907940518244506,0.9903294664725019,0.00046458535194870976
0.24050632911392406,0.9986838081827185,0.998221436781933,0.00046237140078553285
0.25316455696202533,1.0002590463003755,0.9998023297700656,0.00045671653030998627
0.26582278481012656,0.9955098070148617,0.9950621505224275,0.0004476564924341675
0.27848101265822783,0.9844661165460551,0.9840308679784207,0.00043524856763443864
0.2911392405063291,0.9671977966608434,0.9667782254580372,0.00041957120280622373
0.3037974683544304,0.9438140232374322,0.9434132997221346,0.0004007235152976296
0.31645569620253167,0.9144626360202924,0.9140838113540346,0.0003788246662578265
0.3291139240506329,0.8793292039296948,0.8789751908224338,0.00035401310726101975
0.34177215189873417,0.8386358518352485,0.8383094061302767,0.0003264457049717562
0.35443037974683544,0.7926398562109579,0.7923435594615743,0.0002962967493835844
0.3670886075949367,0.7416320185505184,0.741368261698618,0.00026375685190038745
