Iteracao,Energia
0,-0.5648
1,-0.8048
2,-0.856
3,-0.9488
4,-1.0224
5,-1.0672
6,-1.0576
7,-1.0912
8,-1.0816
9,-1.104
10,-1.0896
11,-1.1328
12,-1.1296
13,-1.248
14,-1.2496
15,-1.2464
16,-1.1872
17,-1.2224
18,-1.24
19,-1.2336
20,-1.1968
21,-1.1984
22,-1.184
23,-1.1856
24,-1.2032
25,-1.2304
26,-1.1616
27,-1.1776
28,-1.192
29,-1.1296
30,-1.1376
31,-1.1584
32,-1.1712
33,-1.2352
34,-1.1984
35,-1.2288
36,-1.2544
37,-1.2368
38,-1.264
39,-1.2608
40,-1.2816
41,-1.2752
42,-1.232
43,-1.2144
44,-1.2352
45,-1.1952
46,-1.1808
47,-1.1792
48,-1.2032
49,-1.2464
50,-1.2416
51,-1.2528
52,-1.2256
53,-1.3072
54,-1.32
55,-1.312
56,-1.2992
57,-1.2912
58,-1.264
59,-1.3088
60,-1.2576
61,-1.2864
62,-1.2192
63,-1.2624
64,-1.2304
65,-1.2496
66,-1.2768
67,-1.3008
68,-1.2512
69,-1.272
70,-1.28
71,-1.2496
72,-1.2048
73,-1.224
74,-1.2592
75,-1.2848
76,-1.2704
77,-1.2528
78,-1.2656
79,-1.3024
80,-1.2592
81,-1.2208
82,-1.2016
83,-1.1952
84,-1.1472
85,-1.096
86,-1.2112
87,-1.2544
88,-1.2608
89,-1.24
90,-1.208
91,-1.1632
92,-1.1536
93,-1.1968
94,-1.1984
95,-1.2096
96,-1.2096
97,-1.192
98,-1.2048
99,-1.1584
100,-1.16
101,-1.2016
102,-1.1792
103,-1.2
104,-1.176
105,-1.1904
106,-1.2
107,-1.2352
108,-1.2432
109,-1.288
110,-1.2576
111,-1.2416
112,-1.2496
113,-1.2768
114,-1.2944
115,-1.2816
116,-1.2976
117,-1.2736
118,-1.2688
119,-1.2528
120,-1.2368
121,-1.2384
122,-1.2112
123,-1.1888
124,-1.224
125,-1.2608
126,-1.2544
127,-1.2496
128,-1.2
129,-1.1312
130,-1.1376
131,-1.184
132,-1.2448
133,-1.296
134,-1.264
135,-1.2304
136,-1.1568
137,-1.2096
138,-1.2384
139,-1.2448
140,-1.2
141,-1.1904
142,-1.2016
143,-1.2864
144,-1.2896
145,-1.1744
146,-1.1744
147,-1.2
148,-1.1552
149,-1.1904
150,-1.2112
151,-1.2304
152,-1.2032
153,-1.2368
154,-1.184
155,-1.1984
156,-1.176
157,-1.152
158,-1.136
159,-1.1904
160,-1.2
161,-1.232
162,-1.1984
163,-1.2192
164,-1.2176
165,-1.1376
166,-1.1696
167,-1.1328
168,-1.1536
169,-1.1248
170,-1.1552
171,-1.1456
172,-1.176
173,-1.1456
174,-1.1472
175,-1.1392
176,-1.144
