Iteracao,Energia
0,-0.464
1,-0.4848
2,-0.4784
3,-0.5632
4,-0.5968
5,-0.6032
6,-0.552
7,-0.5488
8,-0.576
9,-0.6144
10,-0.6224
11,-0.6528
12,-0.6272
13,-0.648
14,-0.6032
15,-0.608
16,-0.5584
17,-0.5232
18,-0.6064
19,-0.552
20,-0.6096
21,-0.6016
22,-0.584
23,-0.5728
24,-0.592
25,-0.5744
26,-0.5648
27,-0.5712
28,-0.5552
29,-0.5648
30,-0.592
31,-0.536
32,-0.5728
33,-0.5392
34,-0.5808
35,-0.5456
36,-0.568
37,-0.544
38,-0.5312
39,-0.6304
40,-0.6416
41,-0.5824
42,-0.5648
43,-0.5744
44,-0.5408
45,-0.576
46,-0.536
47,-0.544
48,-0.6016
49,-0.504
50,-0.528
51,-0.5424
52,-0.5584
53,-0.5312
54,-0.5696
55,-0.5664
56,-0.568
57,-0.6048
58,-0.5488
59,-0.5776
60,-0.5648
61,-0.5888
62,-0.5936
63,-0.6144
64,-0.5968
65,-0.5504
66,-0.5472
67,-0.5264
68,-0.5504
69,-0.5632
70,-0.5712
71,-0.5888
72,-0.648
73,-0.6608
74,-0.6176
75,-0.592
76,-0.5872
77,-0.6112
78,-0.6064
79,-0.6176
80,-0.5632
81,-0.5696
82,-0.5744
83,-0.5712
84,-0.536
85,-0.584
86,-0.5856
87,-0.6016
88,-0.6176
89,-0.5712
90,-0.528
91,-0.584
92,-0.608
93,-0.6128
94,-0.568
95,-0.5392
96,-0.5472
97,-0.5856
98,-0.584
99,-0.584
100,-0.5616
101,-0.5872
102,-0.5616
103,-0.6096
104,-0.6
105,-0.5648
106,-0.552
107,-0.5888
108,-0.5824
109,-0.6112
110,-0.5552
111,-0.6208
112,-0.5904
113,-0.5248
114,-0.5488
115,-0.5808
116,-0.5376
117,-0.5776
118,-0.608
119,-0.576
120,-0.5728
121,-0.584
122,-0.5744
123,-0.5856
124,-0.6096
125,-0.5456
126,-0.5536
127,-0.5632
128,-0.5616
129,-0.5616
130,-0.5776
131,-0.5824
132,-0.6336
133,-0.6608
134,-0.5344
135,-0.5888
136,-0.5392
137,-0.5728
138,-0.5648
