Iteracao,Energia
0,-0.76
1,-1.0784
2,-1.2624
3,-1.3728
4,-1.4592
5,-1.4976
6,-1.5424
7,-1.5776
8,-1.5872
9,-1.5984
10,-1.6128
11,-1.6496
12,-1.648
13,-1.6688
14,-1.688
15,-1.6992
16,-1.7056
17,-1.7088
18,-1.7184
19,-1.7152
20,-1.7312
21,-1.7424
22,-1.7424
23,-1.736
24,-1.7392
25,-1.7472
26,-1.7488
27,-1.7408
28,-1.7408
29,-1.7376
30,-1.7392
31,-1.7504
32,-1.7584
33,-1.7632
34,-1.7584
35,-1.7504
36,-1.7536
37,-1.7664
38,-1.7664
39,-1.76
40,-1.7504
41,-1.7472
42,-1.7456
43,-1.752
44,-1.752
45,-1.752
46,-1.752
47,-1.7616
48,-1.7744
49,-1.776
50,-1.7696
51,-1.7776
52,-1.7616
53,-1.7728
54,-1.7744
55,-1.7648
56,-1.784
57,-1.7728
58,-1.7728
59,-1.7792
60,-1.7904
61,-1.7808
62,-1.784
63,-1.7856
64,-1.7856
65,-1.7888
66,-1.7872
67,-1.7952
68,-1.7936
69,-1.8032
70,-1.8
71,-1.7984
72,-1.8032
73,-1.7968
74,-1.8064
75,-1.8048
76,-1.8096
77,-1.8112
78,-1.8128
79,-1.8096
80,-1.8048
81,-1.8128
82,-1.8224
83,-1.8128
84,-1.8128
85,-1.816
86,-1.8192
87,-1.8224
88,-1.8288
89,-1.8272
90,-1.8208
91,-1.808
92,-1.8016
93,-1.808
94,-1.816
95,-1.8192
96,-1.824
97,-1.8128
98,-1.8112
99,-1.8192
100,-1.8192
101,-1.8208
102,-1.8208
103,-1.8224
104,-1.8288
105,-1.84
106,-1.8304
107,-1.832
108,-1.8416
109,-1.8368
110,-1.8272
111,-1.8464
112,-1.8416
113,-1.8448
114,-1.8448
115,-1.8432
116,-1.8384
117,-1.8544
118,-1.8448
119,-1.8448
120,-1.8528
121,-1.856
122,-1.8496
123,-1.8512
124,-1.8512
125,-1.8512
126,-1.8448
127,-1.8624
128,-1.8688
129,-1.8704
130,-1.8656
131,-1.8608
132,-1.8576
133,-1.8592
134,-1.8576
135,-1.8624
136,-1.864
137,-1.8768
138,-1.8672
139,-1.8608
140,-1.8656
141,-1.8688
142,-1.8672
143,-1.8528
144,-1.8608
145,-1.864
146,-1.8688
147,-1.8816
148,-1.8736
149,-1.872
150,-1.8688
151,-1.8784
152,-1.888
153,-1.8832
154,-1.8784
155,-1.872
156,-1.8736
157,-1.88
158,-1.8832
159,-1.88
160,-1.8848
161,-1.8864
162,-1.8816
163,-1.8864
164,-1.8944
165,-1.8992
166,-1.896
167,-1.8976
168,-1.9072
169,-1.9072
170,-1.9024
171,-1.9056
172,-1.9024
173,-1.9072
174,-1.904
175,-1.9088
176,-1.9168
177,-1.912
178,-1.9152
179,-1.9376
180,-1.928
181,-1.9232
182,-1.9216
183,-1.9216
184,-1.9296
185,-1.928
186,-1.9232
187,-1.9392
188,-1.9264
189,-1.9344
190,-1.9408
191,-1.9376
192,-1.9408
193,-1.9376
194,-1.9248
195,-1.9264
196,-1.9376
197,-1.9312
198,-1.9312
199,-1.928
200,-1.9456
201,-1.9344
202,-1.936
203,-1.9328
204,-1.9472
205,-1.9344
206,-1.9392
207,-1.9488
208,-1.936
209,-1.9248
210,-1.9344
211,-1.9408
212,-1.944
213,-1.9424
214,-1.9424
215,-1.944
216,-1.9408
217,-1.9312
218,-1.9328
219,-1.9344
220,-1.9376
221,-1.9408
222,-1.9456
223,-1.936
224,-1.9456
225,-1.9408
226,-1.944
227,-1.9488
228,-1.944
229,-1.9472
230,-1.9408
231,-1.944
232,-1.9488
233,-1.9488
234,-1.9536
235,-1.9536
236,-1.9536
237,-1.9536
238,-1.952
239,-1.9504
240,-1.9456
241,-1.9472
242,-1.9456
243,-1.9456
244,-1.9472
245,-1.9568
246,-1.9552
247,-1.9488
248,-1.9376
249,-1.9664
250,-1.96
251,-1.952
252,-1.9584
253,-1.96
254,-1.9552
255,-1.9616
256,-1.9664
257,-1.968
258,-1.96
259,-1.952
260,-1.9472
261,-1.9504
262,-1.9584
263,-1.96
264,-1.9696
265,-1.9616
266,-1.9712
267,-1.9776
268,-1.9872
269,-1.9936
270,-1.9968
271,-1.9936
272,-1.9872
273,-1.9968
274,-1.9936
275,-1.9936
276,-1.9968
277,-1.9968
278,-1.9936
279,-1.9872
280,-1.9936
281,-1.9936
282,-1.984
283,-1.9872
284,-1.9744
285,-1.9968
286,-1.9872
287,-1.984
288,-1.9904
289,-1.9856
290,-1.9904
291,-1.984
292,-1.9856
293,-1.9808
294,-1.9824
295,-1.9856
296,-1.9904
297,-1.9968
298,-1.9936
299,-1.9824
300,-1.984
301,-1.9872
302,-1.9872
303,-1.9968
304,-1.9904
305,-2.0
306,-1.9936
307,-1.992
308,-1.9936
309,-1.9968
310,-1.984
311,-1.9872
312,-1.9904
313,-1.9904
314,-1.9856
315,-1.9824
316,-1.9968
317,-1.9872
318,-2.0
319,-1.9936
320,-1.9936
321,-1.9968
322,-1.9776
323,-1.9904
324,-1.992
325,-1.984
326,-1.9808
327,-1.9936
328,-1.9968
329,-1.9936
330,-1.992
331,-1.9744
332,-1.9792
333,-1.984
334,-1.9792
335,-1.9776
336,-1.9616
337,-1.9808
338,-1.984
339,-1.9888
340,-1.9888
341,-1.9824
342,-1.9904
343,-1.9856
344,-1.9792
345,-1.9856
346,-1.9808
347,-1.9776
348,-1.968
349,-1.968
350,-1.984
351,-1.9936
352,-1.9904
353,-2.0
354,-1.9968
355,-1.9968
356,-1.9936
357,-1.9936
358,-1.9904
359,-1.9872
360,-1.9904
361,-1.9872
362,-1.9856
363,-1.9936
364,-1.9904
365,-1.9872
366,-1.9904
367,-1.9872
368,-1.9904
369,-1.9904
370,-1.984
371,-1.984
372,-1.9904
373,-1.9904
374,-1.984
375,-1.9936
376,-1.9872
377,-1.992
378,-1.9856
379,-1.9824
380,-1.9904
381,-2.0
382,-1.9936
383,-1.9968
384,-1.9904
385,-1.992
386,-1.9936
387,-1.9968
388,-1.9936
389,-1.9904
390,-1.9952
391,-1.984
392,-1.9824
393,-1.984
394,-1.9808
395,-1.9824
396,-1.9904
397,-1.9808
398,-1.9808
399,-1.9872
400,-1.9968
401,-1.9904
402,-1.9904
403,-1.9872
404,-1.9808
405,-1.9872
406,-1.9904
407,-1.9968
408,-2.0
409,-1.992
410,-1.9904
411,-1.9888
412,-1.9872
413,-1.9872
414,-1.984
415,-1.9904
416,-1.984
417,-1.9872
418,-2.0
419,-1.9968
420,-1.9904
421,-1.9936
422,-1.9952
423,-1.9936
424,-1.9936
425,-1.984
426,-1.9904
427,-1.9904
428,-1.9904
429,-1.9744
430,-1.984
431,-1.976
432,-1.9744
433,-1.9936
434,-1.9936
435,-1.9968
436,-1.9936
437,-1.9904
438,-1.9968
439,-1.9936
440,-1.9968
441,-1.9968
442,-1.9936
443,-1.9936
444,-1.984
445,-1.984
446,-1.9968
447,-1.9872
448,-1.9808
449,-1.9968
450,-2.0
451,-1.9904
452,-1.9968
453,-1.9968
454,-1.9936
455,-1.9968
456,-1.9936
457,-1.9936
458,-1.9872
459,-1.9872
460,-1.9968
461,-1.9904
462,-1.9904
463,-1.9856
464,-1.9936
465,-1.9936
466,-1.9904
467,-1.9968
468,-1.9904
469,-1.9936
470,-1.9904
471,-1.984
472,-1.9856
473,-1.9904
474,-1.9936
